OrderLineID;OrderID;ProductID;Quantity;UnitPrice;DiscountRate;LineAmount
OL000041_2;O000041;P0129;5;240.53;0.2;962.12
OL000041_3;O000041;P0233;6;418.33;0.2;2007.98
OL000042_1;O000042;P0268;2;388.26;0.05;737.69
OL000043_1;O000043;P0059;2;107.29;0;214.58
OL000043_2;O000043;P0015;2;787.05;0.05;1495.39
OL000044_1;O000044;P0494;6;590.15;0.1;3186.81
OL000045_1;O000045;P0478;1;117.26;0.2;93.81
OL000045_2;O000045;P0341;5;630.72;0.2;2522.88
OL000045_3;O000045;P0129;4;240.53;0;962.12
OL000045_4;O000045;P0122;5;552.86;0;2764.3
OL000045_5;O000045;P0396;3;397.05;0.05;1131.59
OL000046_1;O000046;P0359;1;233.67;0.05;221.99
OL000046_2;O000046;P0280;4;15.68;0.1;56.45
OL000046_3;O000046;P0350;2;404.94;0.05;769.39
OL000047_1;O000047;P0159;6;773.52;0.05;4409.06
OL000047_2;O000047;P0463;6;91.32;0;547.92
OL000047_3;O000047;P0274;2;169.86;0.1;305.75
OL000047_4;O000047;P0199;1;380.74;0.1;342.67
OL000048_1;O000048;P0444;1;603.72;0.1;543.35
OL000048_2;O000048;P0242;6;659.48;0.1;3561.19
OL000048_3;O000048;P0475;3;176.86;0.1;477.52
OL000049_1;O000049;P0002;4;76.91;0;307.64
OL000049_2;O000049;P0322;3;525.88;0.05;1498.76
OL000050_1;O000050;P0410;3;62.25;0;186.75
OL000050_2;O000050;P0044;4;703.08;0.05;2671.7
OL000050_3;O000050;P0094;4;775.04;0.1;2790.14
OL000051_1;O000051;P0220;5;653.08;0.05;3102.13
OL000051_2;O000051;P0077;1;382.69;0.05;363.56
OL000051_3;O000051;P0088;5;513.4;0;2567.0
OL000051_4;O000051;P0008;6;240.24;0.2;1153.15
OL000051_5;O000051;P0223;4;696.39;0.1;2507.0
OL000052_1;O000052;P0406;2;488.43;0;976.86
OL000052_2;O000052;P0149;3;168.57;0;505.71
OL000052_3;O000052;P0317;4;746.16;0;2984.64
OL000052_4;O000052;P0190;5;101.56;0.1;457.02
OL000053_1;O000053;P0242;3;659.48;0.2;1582.75
OL000053_2;O000053;P0481;6;741.99;0.2;3561.55
OL000054_1;O000054;P0477;3;66.68;0.1;180.04
OL000054_2;O000054;P0068;1;170.53;0.05;162.0
OL000054_3;O000054;P0364;5;219.99;0.1;989.96
OL000054_4;O000054;P0073;3;103.26;0;309.78
OL000055_1;O000055;P0285;6;411.59;0.1;2222.59
OL000055_2;O000055;P0028;2;540.97;0;1081.94
OL000056_1;O000056;P0105;3;183.03;0;549.09
OL000057_1;O000057;P0146;6;263.49;0;1580.94
OL000058_1;O000058;P0487;4;584.31;0.05;2220.38
OL000058_2;O000058;P0486;6;640.6;0.2;3074.88
OL000058_3;O000058;P0067;2;433.89;0;867.78
OL000058_4;O000058;P0411;6;347.77;0.05;1982.29
OL000058_5;O000058;P0166;1;185.58;0;185.58
OL000059_1;O000059;P0062;3;637.08;0.1;1720.12
OL000059_2;O000059;P0411;4;347.77;0.05;1321.53
OL000060_1;O000060;P0416;3;625.2;0.2;1500.48
OL000060_2;O000060;P0096;4;120.44;0.1;433.58
OL000060_3;O000060;P0048;1;504.68;0.2;403.74
OL000060_4;O000060;P0175;4;544.63;0;2178.52
OL000061_1;O000061;P0219;3;549.88;0.2;1319.71
OL000061_2;O000061;P0025;5;604.34;0;3021.7
OL000061_3;O000061;P0470;1;367.85;0.2;294.28
OL000061_4;O000061;P0056;5;621.03;0.1;2794.63
OL000061_5;O000061;P0212;1;529.44;0.1;476.5
OL000062_1;O000062;P0449;6;114.85;0.05;654.64
OL000062_2;O000062;P0161;5;418.66;0.1;1883.97
OL000062_3;O000062;P0388;6;696.31;0.1;3760.07
OL000062_4;O000062;P0320;3;765.71;0.05;2182.27
OL000063_1;O000063;P0355;4;666.77;0.2;2133.66
OL000063_2;O000063;P0372;4;248.45;0.05;944.11
OL000063_3;O000063;P0317;5;746.16;0.05;3544.26
OL000063_4;O000063;P0354;6;397.17;0.1;2144.72
OL000064_1;O000064;P0098;1;520.33;0.05;494.31
OL000064_2;O000064;P0395;4;157.27;0;629.08
OL000064_3;O000064;P0243;4;318.88;0;1275.52
OL000064_4;O000064;P0060;2;519.25;0;1038.5
OL000064_5;O000064;P0379;6;436.54;0.1;2357.32
OL000065_1;O000065;P0378;5;189.11;0.2;756.44
OL000065_2;O000065;P0375;5;325.84;0.05;1547.74
OL000065_3;O000065;P0019;4;629.57;0.1;2266.45
OL000065_4;O000065;P0249;5;271.37;0.2;1085.48
OL000066_1;O000066;P0230;6;271.54;0.1;1466.32
OL000066_2;O000066;P0011;2;638.57;0.05;1213.28
OL000066_3;O000066;P0372;2;248.45;0.1;447.21
OL000067_1;O000067;P0319;2;395.12;0.05;750.73
OL000067_2;O000067;P0354;6;397.17;0;2383.02
OL000068_1;O000068;P0347;2;711.14;0;1422.28
OL000068_2;O000068;P0424;5;385.81;0;1929.05
OL000068_3;O000068;P0414;1;357.25;0.05;339.39
OL000069_1;O000069;P0362;1;577.1;0.1;519.39
OL000070_1;O000070;P0363;4;514.74;0.2;1647.17
OL000070_2;O000070;P0256;6;439.34;0;2636.04
OL000070_3;O000070;P0079;6;262.75;0.05;1497.67
OL000071_1;O000071;P0185;6;666.88;0;4001.28
OL000071_2;O000071;P0078;5;732.02;0.1;3294.09
OL000071_3;O000071;P0404;2;705.3;0;1410.6
OL000071_4;O000071;P0411;4;347.77;0.1;1251.97
OL000072_1;O000072;P0339;6;27.48;0;164.88
OL000073_1;O000073;P0455;5;714.87;0.2;2859.48
OL000073_2;O000073;P0404;5;705.3;0.1;3173.85
OL000074_1;O000074;P0262;5;522.33;0.05;2481.07
OL000075_1;O000075;P0388;6;696.31;0;4177.86
OL000076_1;O000076;P0267;6;103.48;0;620.88
OL000076_2;O000076;P0054;3;790.64;0.2;1897.54
OL000076_3;O000076;P0299;2;17.68;0.05;33.59
OL000076_4;O000076;P0233;1;418.33;0;418.33
OL000077_1;O000077;P0447;3;391.3;0.2;939.12
OL000077_2;O000077;P0256;6;439.34;0.1;2372.44
OL000077_3;O000077;P0226;6;112.75;0.1;608.85
OL000077_4;O000077;P0375;4;325.84;0;1303.36
OL000078_1;O000078;P0057;1;523.52;0.05;497.34
OL000078_2;O000078;P0293;3;451.7;0;1355.1
OL000078_3;O000078;P0268;2;388.26;0;776.52
OL000078_4;O000078;P0191;3;716.68;0.05;2042.54
OL000079_1;O000079;P0214;4;710.29;0.2;2272.93
OL000080_1;O000080;P0341;5;630.72;0.1;2838.24
OL000080_2;O000080;P0199;2;380.74;0.1;685.33
OL000080_3;O000080;P0174;5;431.69;0;2158.45
OL000080_4;O000080;P0491;6;148.57;0.1;802.28
OL000080_5;O000080;P0377;3;626.3;0;1878.9
OL000081_1;O000081;P0258;1;297.45;0;297.45
OL000081_2;O000081;P0338;5;501.98;0;2509.9
OL000081_3;O000081;P0493;1;336.23;0.05;319.42
OL000081_4;O000081;P0403;2;578.36;0;1156.72
OL000082_1;O000082;P0163;4;592.02;0.05;2249.68
OL000082_2;O000082;P0047;1;276.83;0;276.83
OL000082_3;O000082;P0278;2;115.77;0.05;219.96
OL000082_4;O000082;P0074;2;572.74;0.05;1088.21
OL000082_5;O000082;P0394;1;310.75;0;310.75
OL000083_1;O000083;P0027;2;284.86;0;569.72
OL000084_1;O000084;P0138;5;449.53;0.2;1798.12
OL000085_1;O000085;P0493;5;336.23;0.1;1513.04
OL000085_2;O000085;P0022;1;271.48;0.1;244.33
OL000085_3;O000085;P0493;5;336.23;0.05;1597.09
OL000085_4;O000085;P0335;2;207.42;0;414.84
OL000086_1;O000086;P0450;4;255.68;0;1022.72
OL000086_2;O000086;P0313;5;686.48;0.05;3260.78
OL000086_3;O000086;P0453;6;134.42;0.05;766.19
OL000087_1;O000087;P0345;2;590.9;0.1;1063.62
OL000088_1;O000088;P0064;4;459.02;0.05;1744.28
OL000089_1;O000089;P0496;3;549.97;0;1649.91
OL000089_2;O000089;P0144;4;385.42;0.2;1233.34
OL000089_3;O000089;P0108;1;478.09;0;478.09
OL000089_4;O000089;P0421;6;572.52;0.1;3091.61
OL000090_1;O000090;P0439;2;388.5;0.2;621.6
OL000090_2;O000090;P0374;3;119.34;0;358.02
OL000090_3;O000090;P0435;6;639.42;0;3836.52
OL000090_4;O000090;P0497;6;19.37;0.2;92.98
OL000090_5;O000090;P0315;3;47.69;0.2;114.46
OL000091_1;O000091;P0025;3;604.34;0.1;1631.72
OL000091_2;O000091;P0273;4;481.26;0.05;1828.79
OL000092_1;O000092;P0409;6;613.99;0.05;3499.74
OL000092_2;O000092;P0431;3;493.52;0;1480.56
OL000092_3;O000092;P0056;4;621.03;0;2484.12
OL000092_4;O000092;P0491;3;148.57;0;445.71
OL000092_5;O000092;P0421;3;572.52;0.2;1374.05
OL000093_1;O000093;P0471;4;260.11;0;1040.44
OL000094_1;O000094;P0006;4;499.95;0.1;1799.82
OL000094_2;O000094;P0238;4;464.22;0.2;1485.5
OL000094_3;O000094;P0318;1;546.87;0.05;519.53
OL000094_4;O000094;P0334;6;481.63;0;2889.78
OL000094_5;O000094;P0233;5;418.33;0.05;1987.07
OL000095_1;O000095;P0071;1;564.18;0;564.18
OL000095_2;O000095;P0066;3;324.4;0.2;778.56
OL000096_1;O000096;P0030;2;394.47;0.2;631.15
OL000096_2;O000096;P0420;5;145.0;0;725.0
OL000097_1;O000097;P0169;2;336.35;0;672.7
OL000097_2;O000097;P0233;1;418.33;0.1;376.5
OL000097_3;O000097;P0113;1;533.09;0;533.09
OL000097_4;O000097;P0355;2;666.77;0.1;1200.19
OL000098_1;O000098;P0100;6;146.52;0.2;703.3
OL000098_2;O000098;P0468;3;765.15;0;2295.45
OL000098_3;O000098;P0500;1;420.76;0;420.76
OL000098_4;O000098;P0102;3;79.3;0;237.9
OL000099_1;O000099;P0174;2;431.69;0.05;820.21
OL000100_1;O000100;P0163;5;592.02;0.1;2664.09
OL000100_2;O000100;P0326;2;796.85;0;1593.7
OL000100_3;O000100;P0391;5;426.17;0.2;1704.68
OL000101_1;O000101;P0034;2;238.05;0.2;380.88
OL000101_2;O000101;P0199;6;380.74;0.2;1827.55
OL000101_3;O000101;P0192;4;326.61;0.2;1045.15
OL000101_4;O000101;P0238;2;464.22;0.05;882.02
OL000101_5;O000101;P0365;3;86.72;0.2;208.13
OL000102_1;O000102;P0456;4;49.86;0.2;159.55
OL000102_2;O000102;P0081;3;621.09;0.05;1770.11
OL000102_3;O000102;P0282;1;793.52;0;793.52
OL000102_4;O000102;P0385;1;263.38;0.05;250.21
OL000103_1;O000103;P0120;3;48.04;0;144.12
OL000103_2;O000103;P0184;1;100.07;0.05;95.07
OL000103_3;O000103;P0432;5;789.16;0.2;3156.64
OL000103_4;O000103;P0280;6;15.68;0;94.08
OL000104_1;O000104;P0071;6;564.18;0.2;2708.06
OL000104_2;O000104;P0468;3;765.15;0;2295.45
OL000104_3;O000104;P0395;3;157.27;0.05;448.22
OL000104_4;O000104;P0422;3;152.75;0.1;412.43
OL000104_5;O000104;P0485;4;18.52;0.2;59.26
OL000105_1;O000105;P0161;2;418.66;0.1;753.59
OL000106_1;O000106;P0218;6;124.81;0.1;673.97
OL000106_2;O000106;P0391;6;426.17;0.2;2045.62
OL000106_3;O000106;P0154;3;626.07;0.2;1502.57
OL000106_4;O000106;P0012;5;530.34;0;2651.7
OL000107_1;O000107;P0346;5;135.3;0;676.5
OL000108_1;O000108;P0067;5;433.89;0.1;1952.5
OL000109_1;O000109;P0074;4;572.74;0;2290.96
OL000110_1;O000110;P0201;5;195.65;0;978.25
OL000110_2;O000110;P0213;2;771.24;0;1542.48
OL000110_3;O000110;P0461;5;707.1;0.1;3181.95
OL000111_1;O000111;P0391;5;426.17;0;2130.85
OL000111_2;O000111;P0189;1;88.85;0;88.85
OL000111_3;O000111;P0259;3;135.79;0.1;366.63
OL000111_4;O000111;P0231;2;283.35;0.05;538.37
OL000112_1;O000112;P0249;4;271.37;0;1085.48
OL000112_2;O000112;P0043;5;306.39;0;1531.95
OL000112_3;O000112;P0366;4;460.32;0;1841.28
OL000112_4;O000112;P0242;3;659.48;0;1978.44
OL000113_1;O000113;P0366;1;460.32;0.2;368.26
OL000113_2;O000113;P0111;4;169.16;0;676.64
OL000114_1;O000114;P0047;1;276.83;0.1;249.15
OL000114_2;O000114;P0015;1;787.05;0.05;747.7
OL000115_1;O000115;P0320;2;765.71;0.2;1225.14
OL000115_2;O000115;P0203;4;443.79;0;1775.16
OL000116_1;O000116;P0454;2;261.6;0.1;470.88
OL000117_1;O000117;P0436;6;646.77;0.1;3492.56
OL000117_2;O000117;P0035;3;439.05;0;1317.15
OL000117_3;O000117;P0312;5;783.63;0.1;3526.34
OL000118_1;O000118;P0105;6;183.03;0;1098.18
OL000118_2;O000118;P0122;6;552.86;0.2;2653.73
OL000118_3;O000118;P0485;4;18.52;0.05;70.38
OL000118_4;O000118;P0069;3;355.61;0.05;1013.49
OL000119_1;O000119;P0312;4;783.63;0.2;2507.62
OL000119_2;O000119;P0165;2;87.11;0.1;156.8
OL000120_1;O000120;P0372;4;248.45;0.05;944.11
OL000120_2;O000120;P0085;6;584.5;0;3507.0
OL000120_3;O000120;P0126;4;160.09;0;640.36
OL000120_4;O000120;P0311;2;604.23;0.05;1148.04
OL000121_1;O000121;P0011;4;638.57;0.1;2298.85
OL000121_2;O000121;P0438;1;582.27;0.05;553.16
OL000121_3;O000121;P0305;5;788.44;0;3942.2
OL000121_4;O000121;P0284;6;324.52;0;1947.12
OL000122_1;O000122;P0482;4;99.4;0.05;377.72
OL000122_2;O000122;P0197;4;19.76;0.05;75.09
OL000122_3;O000122;P0329;5;443.35;0;2216.75
OL000122_4;O000122;P0210;1;475.56;0;475.56
OL000123_1;O000123;P0125;4;526.37;0;2105.48
OL000123_2;O000123;P0472;3;789.27;0;2367.81
OL000124_1;O000124;P0204;6;297.04;0.2;1425.79
OL000124_2;O000124;P0499;1;87.64;0.2;70.11
OL000124_3;O000124;P0466;2;280.34;0.1;504.61
OL000124_4;O000124;P0085;4;584.5;0.05;2221.1
OL000125_1;O000125;P0358;3;435.78;0;1307.34
OL000125_2;O000125;P0087;4;420.61;0;1682.44
OL000125_3;O000125;P0050;1;746.85;0.1;672.17
OL000125_4;O000125;P0269;4;463.05;0.05;1759.59
OL000126_1;O000126;P0415;2;736.04;0.05;1398.48
OL000126_2;O000126;P0462;4;388.14;0.1;1397.3
OL000127_1;O000127;P0385;1;263.38;0.2;210.7
OL000127_2;O000127;P0405;1;158.47;0;158.47
OL000127_3;O000127;P0109;5;759.21;0;3796.05
OL000128_1;O000128;P0313;1;686.48;0.05;652.16
OL000128_2;O000128;P0448;3;423.67;0;1271.01
OL000128_3;O000128;P0002;4;76.91;0.1;276.88
OL000128_4;O000128;P0372;2;248.45;0;496.9
OL000129_1;O000129;P0448;1;423.67;0.05;402.49
OL000129_2;O000129;P0348;4;142.21;0;568.84
OL000129_3;O000129;P0311;4;604.23;0.1;2175.23
OL000130_1;O000130;P0017;2;474.99;0.1;854.98
OL000130_2;O000130;P0408;1;316.09;0.05;300.29
OL000130_3;O000130;P0427;6;339.4;0.2;1629.12
OL000130_4;O000130;P0448;4;423.67;0;1694.68
OL000130_5;O000130;P0459;4;255.21;0;1020.84
OL000131_1;O000131;P0488;6;528.49;0;3170.94
OL000131_2;O000131;P0341;2;630.72;0.2;1009.15
OL000131_3;O000131;P0325;6;60.4;0.1;326.16
OL000131_4;O000131;P0047;6;276.83;0.05;1577.93
OL000132_1;O000132;P0380;5;797.92;0;3989.6
OL000132_2;O000132;P0382;1;217.42;0.2;173.94
OL000132_3;O000132;P0189;2;88.85;0.05;168.81
OL000133_1;O000133;P0114;1;588.56;0.1;529.7
OL000133_2;O000133;P0005;5;164.48;0.1;740.16
OL000133_3;O000133;P0162;2;579.81;0.05;1101.64
OL000133_4;O000133;P0429;2;719.05;0.1;1294.29
OL000133_5;O000133;P0349;4;43.17;0;172.68
OL000134_1;O000134;P0435;6;639.42;0;3836.52
OL000134_2;O000134;P0359;6;233.67;0;1402.02
OL000135_1;O000135;P0037;5;655.22;0.05;3112.3
OL000135_2;O000135;P0145;6;675.85;0;4055.1
OL000135_3;O000135;P0359;5;233.67;0.1;1051.51
OL000135_4;O000135;P0050;2;746.85;0.05;1419.01
OL000136_1;O000136;P0186;6;402.12;0.2;1930.18
OL000137_1;O000137;P0304;4;613.75;0;2455.0
OL000137_2;O000137;P0322;6;525.88;0.1;2839.75
OL000137_3;O000137;P0126;1;160.09;0;160.09
OL000138_1;O000138;P0060;1;519.25;0;519.25
OL000139_1;O000139;P0033;6;75.31;0.2;361.49
OL000139_2;O000139;P0095;4;329.47;0;1317.88
OL000139_3;O000139;P0202;5;103.78;0.2;415.12
OL000140_1;O000140;P0021;2;281.03;0.2;449.65
OL000141_1;O000141;P0485;5;18.52;0.05;87.97
OL000142_1;O000142;P0439;2;388.5;0;777.0
OL000142_2;O000142;P0309;5;494.09;0;2470.45
OL000142_3;O000142;P0303;3;291.26;0.05;830.09
OL000143_1;O000143;P0323;6;751.63;0.05;4284.29
OL000144_1;O000144;P0209;1;95.13;0.05;90.37
OL000144_2;O000144;P0328;1;32.57;0.05;30.94
OL000144_3;O000144;P0466;3;280.34;0.05;798.97
OL000144_4;O000144;P0075;2;688.89;0.05;1308.89
OL000144_5;O000144;P0006;1;499.95;0.1;449.95
OL000145_1;O000145;P0139;5;502.22;0;2511.1
OL000145_2;O000145;P0460;1;497.38;0;497.38
OL000145_3;O000145;P0163;4;592.02;0;2368.08
OL000145_4;O000145;P0177;6;239.75;0.2;1150.8
OL000145_5;O000145;P0283;5;302.47;0.1;1361.12
OL000146_1;O000146;P0348;5;142.21;0.1;639.95
OL000146_2;O000146;P0362;4;577.1;0;2308.4
OL000147_1;O000147;P0484;1;383.24;0;383.24
OL000147_2;O000147;P0295;1;451.32;0;451.32
OL000148_1;O000148;P0098;6;520.33;0;3121.98
OL000148_2;O000148;P0366;4;460.32;0.2;1473.02
OL000148_3;O000148;P0384;3;349.75;0;1049.25
OL000148_4;O000148;P0379;6;436.54;0.2;2095.39
OL000148_5;O000148;P0351;5;635.26;0;3176.3
OL000149_1;O000149;P0468;6;765.15;0;4590.9
OL000149_2;O000149;P0426;5;285.73;0;1428.65
OL000149_3;O000149;P0149;3;168.57;0.1;455.14
OL000150_1;O000150;P0153;3;554.19;0;1662.57
OL000150_2;O000150;P0003;3;222.04;0;666.12
OL000150_3;O000150;P0206;3;290.56;0;871.68
OL000151_1;O000151;P0220;2;653.08;0.2;1044.93
OL000151_2;O000151;P0416;3;625.2;0;1875.6
OL000151_3;O000151;P0225;6;147.3;0.1;795.42
OL000152_1;O000152;P0492;6;280.85;0.05;1600.85
OL000152_2;O000152;P0061;4;489.47;0.1;1762.09
OL000152_3;O000152;P0282;4;793.52;0;3174.08
OL000152_4;O000152;P0167;4;472.6;0.2;1512.32
OL000153_1;O000153;P0220;5;653.08;0;3265.4
OL000153_2;O000153;P0223;4;696.39;0.05;2646.28
OL000153_3;O000153;P0145;4;675.85;0;2703.4
OL000154_1;O000154;P0359;6;233.67;0.2;1121.62
OL000155_1;O000155;P0209;5;95.13;0.05;451.87
OL000155_2;O000155;P0359;6;233.67;0;1402.02
OL000155_3;O000155;P0114;3;588.56;0.1;1589.11
OL000155_4;O000155;P0246;1;725.45;0.2;580.36
OL000156_1;O000156;P0144;5;385.42;0;1927.1
OL000156_2;O000156;P0221;2;641.07;0.05;1218.03
OL000156_3;O000156;P0486;4;640.6;0.05;2434.28
OL000156_4;O000156;P0172;3;611.34;0;1834.02
OL000157_1;O000157;P0067;6;433.89;0.2;2082.67
OL000158_1;O000158;P0066;2;324.4;0.1;583.92
OL000159_1;O000159;P0357;2;499.59;0.05;949.22
OL000159_2;O000159;P0024;5;365.16;0;1825.8
OL000159_3;O000159;P0407;6;553.63;0;3321.78
OL000160_1;O000160;P0451;5;615.28;0.1;2768.76
OL000161_1;O000161;P0475;2;176.86;0.05;336.03
OL000161_2;O000161;P0448;1;423.67;0;423.67
OL000161_3;O000161;P0422;2;152.75;0.2;244.4
OL000162_1;O000162;P0091;3;378.18;0;1134.54
OL000162_2;O000162;P0276;6;436.04;0.2;2092.99
OL000162_3;O000162;P0055;6;587.3;0.1;3171.42
OL000163_1;O000163;P0189;2;88.85;0.1;159.93
OL000163_2;O000163;P0048;4;504.68;0;2018.72
OL000163_3;O000163;P0236;2;664.71;0;1329.42
OL000163_4;O000163;P0097;5;304.07;0.1;1368.32
OL000164_1;O000164;P0071;6;564.18;0;3385.08
OL000164_2;O000164;P0309;1;494.09;0.1;444.68
