OrderID;OrderDate_raw;CustomerID;ChannelID;OrderStatus;ShippingCityID;PromoCode
O000184;12/07/2023;C1064;CH4;RETURNED;CITY04;BF
O000185;11/09/2022;C1157;CH5;Completed;CITY07;
O000186;29/06/2021;C1053;CH1;Completed;CITY12;
O000187;2024-02-04;C1195;CH1;Cancelled;CITY08;BF
O000188;2022-05-11;C1284;CH4;Cancelled;CITY10;
O000189;2025-09-11;C1283;CH2;Pending;CITY01;
O000190;18/07/2022;C1042;CH2;Completed;CITY02;BF
O000191;2025-09-13;C1106;CH4;Completed;CITY08;
O000192;21/11/2021;C1267;CH3;Completed;CITY09;
O000193;2022-02-13;C1047;CH3;Returned;CITY08;
O000194;2024-05-06;C1139;CH3;Returned;CITY10;
O000195;2023-03-27;C1015;CH1;Cancelled;CITY06;
O000196;2022-08-04;C1308;CH2;Returned;CITY10;
O000197;2022-04-30;C1295;CH1; Pending;CITY01;
O000198;2023-10-09;C1313;CH1;Shipped;CITY11;WELCOME
O000199;15/08/2021;C1024;CH3;Completed;CITY07;SUMMER
O000200;03/29/2024;C1244;CH4;Pending;CITY02;SUMMER
O000201;2021-05-04;C1108;CH1;Cancelled;CITY02;
O000202;05/21/2021;C1142;CH4;Cancelled;CITY02;
O000203;27/12/2022;C1220;CH2;Cancelled;CITY01;
O000204;05/01/2024;C1141;CH5;Returned;CITY01;RAMADAN
O000205;02/12/2025;C1137;CH4;Cancelled;CITY05;
O000206;12/15/2021;C1161;CH1;Cancelled;CITY01;
O000207;28/09/2023;C1126;CH4;Completed ;CITY05;
O000208;2023-01-17;C1234;CH1;Pending;CITY11;
O000209;01/02/2022;C1193;CH1;Pending;CITY08;
O000210;2024-03-06;C1177;CH3;Completed;CITY03;BF
O000211;01/06/2023;C1180;CH1;Completed;CITY09;
O000212;28/08/2023;C1181;CH2;Shipped;CITY05;
O000213;2021-07-16;C1070;CH5;Shipped;CITY12;
O000214;2021-04-20;C1201;CH2;Shipped;CITY09;BF
O000215;06/09/2021;C1299;CH5;Completed;CITY12;
O000216;01/12/2023;C1049;CH2;Cancelled;CITY08;
O000217;2025-10-26;C1336;CH5;Completed;CITY03;
O000218;2021-09-04;C1288;CH4;Completed;CITY11;
O000219;2023-11-17;C1032;CH2;Cancelled;CITY08;
O000220;2024-04-20;C1297;CH3;Returned;CITY01;
O000221;01/31/2025;C1196;CH4;Completed ;CITY12;
O000222;2023-06-16;C1347;CH3;Cancelled;CITY09;
O000223;2024-03-09;C1279;CH1;Pending;CITY12;
O000224;2025-11-25;C1036;CH5;Completed;CITY02;
O000225;24/01/2024;C1056;CH5;Shipped;CITY01;
O000226;10/12/2022;C1036;CH4;Returned;CITY08;
O000227;02/13/2021;C1028;CH1;Cancelled;CITY11;
O000228;14/06/2024;C1188;CH3;Cancelled;CITY02;
O000229;08/22/2022;C1066;CH5;Shipped;CITY02;SUMMER
O000230;12/15/2023;C1136;CH3;Returned;CITY07;
O000231;03/15/2021;C1120;CH4;Shipped;CITY01;
O000232;2021-03-06;C1277;CH3;Completed;CITY05;
O000233;2025-10-25;C1273;CH4;Shipped;CITY05;RAMADAN
O000234;2022-07-05;C1337;CH3; Returned;CITY06;SUMMER
O000235;2021-05-12;C1225;CH2;Pending;CITY08;
O000236;05/05/2021;C1132;CH3;Completed;CITY09;WELCOME
O000237;2021-10-21;C1012;CH3;Returned;CITY11;
O000238;2025-08-29;C1298;CH1;Cancelled;CITY02;
O000239;2022-05-13;C1185;CH2;Shipped;CITY08;
O000240;05/10/2025;C1208;CH5;Cancelled;CITY06;
O000241;11/16/2025;C1017;CH4;Completed;CITY09;BF
O000242;2023-07-09;C1209;CH4;Shipped;CITY12;RAMADAN
O000243;2021-04-09;C1288;CH5;Returned;CITY05;
O000244;2021-12-06;C1060;CH3;Pending;CITY05;SUMMER
O000245;30/12/2025;C1276;CH5; Cancelled;CITY06;
O000246;01/29/2025;C1038;CH3;Cancelled;CITY12;
O000247;2022-01-25;C1285;CH1;Completed;CITY04;
O000248;02/10/2023;C1285;CH5;Cancelled;CITY05;
O000249;10/12/2025;C1147;CH4;Shipped;CITY03;BF
O000250;03/01/2021;C1148;CH3;Returned;CITY01;
O000251;24/09/2022;C1229;CH4;Cancelled;CITY11;WELCOME
O000252;01/12/2023;C1274;CH2;Cancelled;CITY04;SUMMER
O000253;2021-03-28;C1080;CH3; Pending;CITY04;
O000254;2021-02-11;C1007;CH5;Returned;CITY07;RAMADAN
O000255;2021-07-10;C1113;CH4;Returned;CITY09;
O000256;25/03/2023;C1118;CH4;Pending;CITY06;RAMADAN
O000257;2024-06-16;C1242;CH5;Returned;CITY05;
O000258;2024-08-28;C1120;CH3;Shipped;CITY12;WELCOME
O000259;2021-10-14;C1280;CH4; Shipped;CITY05;
O000260;2021-01-21;C1162;CH4;Cancelled;CITY01;SUMMER
O000261;07/17/2022;C1145;CH4;Returned;CITY07;
O000262;2022-11-08;C1294;CH5;Returned;CITY10;
O000263;2025-11-27;C1000;CH3;Completed;CITY08;BF
O000264;12/07/2021;C1324;CH3;Cancelled;CITY12;SUMMER
O000265;01/12/2021;C1300;CH3;PENDING;CITY09;WELCOME
O000266;03/11/2025;C1241;CH5;Shipped;CITY11;
O000267;25/04/2021;C1227;CH1;PENDING;CITY04;
O000268;14/05/2021;C1098;CH5;Cancelled;CITY01;SUMMER
O000269;20/04/2025;C1086;CH1;Cancelled;CITY12;
O000270;2022-04-08;C1096;CH3;Cancelled;CITY08;
O000271;2022-03-01;C1175;CH5;Returned;CITY09;
O000272;13/07/2024;C1183;CH1;Cancelled;CITY02;RAMADAN
O000273;06/02/2022;C1191;CH5;Pending;CITY04;
O000274;2025-06-03;C1027;CH1;Pending;CITY08;
O000275;06/14/2023;C1046;CH2;Cancelled;CITY01;
O000276;05/03/2023;C1065;CH3;Cancelled;CITY11;
O000277;10/10/2021;C1255;CH2;Completed;CITY07;
O000278;2024-11-06;C1051;CH4;Completed;CITY07;
O000279;2025-11-18;C1345;CH1; Cancelled;CITY04;
O000280;17/01/2024;C1136;CH2;Pending;CITY05;
O000281;2022-12-09;C1234;CH5;Cancelled;CITY09;
O000282;23/11/2022;C1326;CH3;Shipped;CITY05;WELCOME
O000283;07/21/2022;C1256;CH1;Returned;CITY05;
O000284;02/07/2021;C1166;CH2;Completed;CITY08;
O000285;15/09/2024;C1292;CH1;Shipped;CITY12;
O000286;19/03/2025;C1145;CH5;Shipped;CITY03;BF
O000287;04/20/2025;C1205;CH5;Shipped;CITY10;
O000288;03/31/2023;C1147;CH1;Returned;CITY03;
O000289;2024-06-02;C1127;CH2;Returned;CITY06;WELCOME
O000290;2023-07-30;C1125;CH5;Shipped;CITY08;
O000291;05/01/2025;C1310;CH5;Completed;CITY05;BF
O000292;2025-04-02;C1296;CH1;Cancelled;CITY04;
O000293;2022-08-28;C1227;CH3;Shipped;CITY01;
O000294;03/04/2025;C1065;CH2;Returned;CITY04;WELCOME
O000295;2025-11-08;C1248;CH2;Returned;CITY01;
O000296;2024-09-22;C1016;CH4;Completed;CITY09;
O000297;2024-02-05;C1142;CH1;Cancelled;CITY03;
O000298;07/02/2022;C1244;CH1;SHIPPED;CITY10;
O000299;2025-03-26;C1208;CH5;Pending;CITY08;
O000300;2023-10-13;C1083;CH2;Completed;CITY08;SUMMER
O000301;04/19/2025;C1202;CH2;Cancelled;CITY09;BF
O000302;2025-04-11;C1213;CH1;Shipped ;CITY03;BF
O000303;22/10/2022;C1218;CH4;Pending;CITY04;
O000304;2021-05-02;C1051;CH1;Pending;CITY05;
O000305;17/06/2023;C1125;CH3;Returned;CITY09;SUMMER
O000306;2023-01-12;C1170;CH2;Pending;CITY03;WELCOME
O000307;2024-07-23;C1034;CH1;RETURNED;CITY09;RAMADAN
O000308;2023-07-14;C1077;CH3;Completed;CITY09;BF
O000309;04/26/2025;C1294;CH3;Returned;CITY05;
O000310;2021-09-10;C1192;CH1;Shipped;CITY07;
O000311;2025-03-16;C1162;CH4;Cancelled;CITY06;
O000312;2025-10-03;C1333;CH3;Cancelled;CITY07;
O000313;06/05/2024;C1107;CH3;Pending;CITY03;RAMADAN
O000314;11/11/2022;C1014;CH4;Completed;CITY01;
O000315;30/09/2022;C1243;CH4;Pending;CITY10;
O000316;2024-09-30;C1302;CH5;Returned;CITY03;
O000317;11/28/2021;C1203;CH3;Completed;CITY04;
O000318;06/07/2022;C1174;CH4;Returned;CITY06;
O000319;2022-09-21;C1231;CH4;Returned;CITY09;
O000320;07/24/2024;C1324;CH5;Cancelled;CITY09;
O000321;2021-01-01;C1038;CH3;Returned;CITY10;
O000322;08/16/2024;C1214;CH4;Returned;CITY04;
O000323;2022-09-04;C1063;CH5;Returned;CITY12;SUMMER
O000324;2025-04-03;C1149;CH2;Returned;CITY10;
O000325;31/12/2024;C1248;CH2;Returned;CITY05;WELCOME
O000326;01/09/2023;C1297;CH5;Shipped;CITY06;BF
O000327;2023-01-05;C1349;CH3;Pending;CITY01;
O000328;10/11/2022;C1156;CH1;Completed;CITY11;RAMADAN
O000329;24/01/2022;C1297;CH3;Returned;CITY09;
O000330;2024-06-10;C1291;CH1;Pending;CITY04;
O000331;23/10/2025;C1313;CH4;Shipped;CITY04;
O000332;06/18/2025;C1275;CH5;CANCELLED;CITY12;
O000333;01/08/2023;C1316;CH4;Shipped;CITY03;
O000334;09/17/2024;C1231;CH3;Returned;CITY10;
O000335;02/09/2025;C1099;CH2;Returned;CITY01;BF
O000336;2021-12-30;C1220;CH3;SHIPPED;CITY04;SUMMER
O000337;30/10/2024;C1191;CH1; Cancelled;CITY06;
O000338;2024-12-17;C1090;CH5;Cancelled;CITY01;
O000339;2022-01-31;C1308;CH2;Returned;CITY09;BF
O000340;2022-01-21;C1206;CH1;Pending ;CITY11;
O000341;2023-04-08;C1222;CH4;Completed;CITY09;BF
O000342;31/12/2023;C1014;CH1;Pending;CITY01;BF
O000343;2022-02-26;C1059;CH3;Completed;CITY06;RAMADAN
O000344;2022-02-24;C1334;CH3;Shipped;CITY07;SUMMER
O000345;2021-05-17;C1093;CH5;Pending;CITY11;
O000346;19/08/2023;C1245;CH1;Completed;CITY02;
O000347;08/12/2024;C1028;CH4;Shipped;CITY04;RAMADAN
O000348;2021-04-27;C1057;CH1;Shipped;CITY03;
O000349;29/02/2024;C1279;CH1;Completed;CITY11;
O000350;01/24/2023;C1010;CH4;Pending;CITY09;RAMADAN
O000351;2023-01-15;C1172;CH3;Shipped;CITY04;
O000352;11/23/2022;C1282;CH2;Shipped;CITY08;WELCOME
O000353;2022-10-10;C1312;CH5;Returned;CITY02;
O000354;09/22/2022;C1033;CH3;Returned;CITY08;
O000355;2021-11-21;C1287;CH5;Shipped;CITY04;WELCOME
O000356;15/04/2024;C1185;CH4;Returned;CITY08;
O000357;28/12/2022;C1308;CH4;Completed;CITY03;SUMMER
O000358;2023-07-09;C1221;CH3;Completed;CITY11;
O000359;2023-02-18;C1198;CH1;Pending;CITY09;
O000360;17/02/2021;C1065;CH1;Cancelled ;CITY10;RAMADAN
O000361;2024-07-16;C1169;CH1;Returned;CITY12;
O000362;09/02/2023;C1101;CH4;Returned;CITY11;
O000363;21/01/2022;C1095;CH3;Cancelled;CITY05;
O000364;2025-02-10;C1030;CH5;Shipped ;CITY08;WELCOME
O000365;2023-07-13;C1183;CH4;Pending;CITY09;
O000366;2023-07-16;C1078;CH2;Shipped;CITY06;BF
O000367;2021-11-03;C1138;CH3; Cancelled;CITY09;
O000368;2025-07-04;C1110;CH4; Shipped;CITY06;SUMMER
O000369;2022-05-20;C1107;CH3;Cancelled;CITY08;
O000370;26/02/2023;C1075;CH5;PENDING;CITY12;
O000371;2022-10-18;C1248;CH3;Returned;CITY11;RAMADAN
O000372;2021-06-11;C1188;CH4;Cancelled;CITY10;BF
O000373;10/24/2022;C1008;CH1;Completed;CITY03;SUMMER
O000374;20/01/2025;C1067;CH4;Completed;CITY09;RAMADAN
O000375;2024-08-07;C1202;CH2;Returned;CITY03;WELCOME
O000376;10/23/2023;C1163;CH3;Shipped;CITY09;
O000377;01/04/2024;C1003;CH5;Pending;CITY03;RAMADAN
O000378;27/03/2021;C1198;CH1;Cancelled;CITY05;RAMADAN
O000379;2022-02-27;C1255;CH4;Pending;CITY03;
O000380;2022-03-17;C1330;CH2;Shipped;CITY07;
O000381;08/12/2025;C1243;CH2;Completed;CITY10;
O000382;2023-04-25;C1089;CH1;Returned;CITY05;SUMMER
O000383;2024-02-19;C1250;CH2;Completed;CITY08;
O000384;2025-04-21;C1149;CH2;Shipped;CITY07;WELCOME
O000385;10/10/2025;C1293;CH2;Cancelled;CITY07;WELCOME
O000386;2022-03-25;C1295;CH3;Shipped;CITY11;
O000387;2025-08-18;C1107;CH5;Completed;CITY01;
O000388;2022-12-04;C1198;CH3;Cancelled;CITY08;
O000389;2021-02-25;C1194;CH1;Shipped;CITY09;
O000390;2022-03-20;C1314;CH4; Completed;CITY11;WELCOME
O000391;03/23/2021;C1148;CH5;Pending;CITY02;
O000392;2025-07-14;C1059;CH1;Cancelled;CITY10;
O000393;2021-05-18;C1033;CH1;Pending;CITY07;
O000394;2021-05-17;C1336;CH2;Returned;CITY04;
O000395;2025-06-29;C1109;CH2;Shipped;CITY07;
O000396;2021-03-29;C1164;CH4;Completed;CITY07;BF
O000397;2023-10-16;C1038;CH4; Returned;CITY12;RAMADAN
O000398;2022-09-24;C1240;CH5;Shipped;CITY10;
O000399;10/04/2022;C1165;CH2;Returned;CITY06;
O000400;2024-12-30;C1277;CH5;Pending;CITY03;WELCOME
O000401;2024-01-06;C1174;CH2;Pending;CITY07;
O000402;2022-02-12;C1136;CH1;Shipped;CITY08;
O000403;2021-08-09;C1280;CH5;Pending;CITY11;
O000404;2025-04-11;C1112;CH2;Shipped;CITY03;
O000405;2023-07-03;C1109;CH2;Completed;CITY08;RAMADAN
O000406;02/03/2023;C1073;CH1;Returned;CITY07;
O000407;16/07/2023;C1011;CH4;Returned;CITY07;BF
O000408;10/15/2025;C1299;CH5;Returned;CITY07;
O000409;04/15/2022;C1209;CH3;Cancelled;CITY10;
O000410;06/07/2022;C1091;CH5;Completed;CITY12;
O000411;04/10/2021;C1240;CH2;Cancelled;CITY10;
O000412;2024-08-18;C1266;CH3;Returned;CITY05;
O000413;2023-09-25;C1101;CH1;Cancelled;CITY08;
O000414;2023-01-31;C1104;CH4;Cancelled;CITY03;
O000415;2025-08-09;C1262;CH5;Shipped ;CITY02;
O000416;2021-02-19;C1229;CH4;Pending;CITY06;
O000417;2021-10-22;C1072;CH2;Completed;CITY01;
O000418;01/12/2021;C1019;CH3;Shipped;CITY03;
O000419;2025-07-10;C1304;CH2;Cancelled;CITY06;
O000420;2023-05-09;C1290;CH3;PENDING;CITY11;WELCOME
O000421;23/09/2022;C1120;CH4;Shipped;CITY07;BF
O000422;04/11/2021;C1276;CH4;Shipped;CITY11;RAMADAN
O000423;24/03/2021;C1084;CH3;PENDING;CITY01;
O000424;2021-10-11;C1033;CH4;Returned;CITY12;
O000425;06/15/2025;C1158;CH3;Cancelled;CITY01;
O000426;2024-04-01;C1122;CH4;Shipped;CITY11;
O000427;2023-03-09;C1095;CH4;Shipped;CITY06;
O000428;05/07/2022;C1262;CH5;Shipped;CITY07;WELCOME
O000429;06/10/2023;C1020;CH4;Returned;CITY08;
O000430;10/08/2022;C1302;CH2;Shipped;CITY01;RAMADAN
O000431;2025-04-24;C1307;CH1;Shipped;CITY09;SUMMER
O000432;09/10/2023;C1010;CH1;Cancelled;CITY11;SUMMER
O000433;06/05/2022;C1033;CH3;Cancelled;CITY09;
O000434;2025-07-10;C1096;CH5;Pending;CITY02;
O000435;06/25/2024;C1326;CH4;Returned;CITY12;RAMADAN
O000436;08/10/2022;C1237;CH1;Cancelled;CITY02;
O000437;2024-09-23;C1070;CH3;Shipped;CITY07;WELCOME
O000438;13/01/2023;C1058;CH1;Pending;CITY03;
O000439;2024-02-06;C1336;CH3;Completed;CITY05;
O000440;2024-01-15;C1054;CH3;Cancelled;CITY04;
O000441;04/16/2023;C1002;CH5;Pending;CITY04;
O000442;2024-04-24;C1210;CH5;Pending;CITY02;
O000443;01/11/2024;C1202;CH2;Cancelled;CITY11;RAMADAN
O000444;2023-04-22;C1193;CH5;Pending;CITY03;
O000445;20/05/2025;C1030;CH4;Returned;CITY05;
O000446;2025-09-16;C1244;CH4;Pending;CITY03;WELCOME
