ProductID;ProductName;CategoryID;BrandID;SupplierID;UnitCost;UnitPrice;IsActive
P0086;Empêcher Basic;CAT04;BR07;SUP16;432.73;778.32;N
P0087;Devoir Plus;CAT02;BR01;SUP08;404.29;420.61;Yes
P0088;Quartier Max;CAT02;BR10;SUP04;229.92;513.4;No
P0089;Mourir Pro;CAT01;BR07;SUP05;110.36;216.18;Yes
P0090;Combien Max;CAT06;BR06;SUP15;126.02;69.0;N
P0091;Enfoncer Basic;CAT02;BR03;SUP04;78.15;378.18;No
P0092;Haut Pro;CAT06;BR13;SUP07;206.1;376.04;Y
P0093;Supporter Pro;CAT03;BR13;SUP10;372.74;560.53;Y
P0094;Tombe Basic;CAT06;BR03;SUP03;321.47;775.04;No
P0095;Détacher Pro;CAT05;BR05;SUP06;18.83;329.47;No
P0096;Ouvert Basic;CAT02;BR08;SUP04;362.73;120.44;Y
P0097;Salle Pro;CAT04;BR03;SUP07;371.53;304.07;Y
P0098;Perdre Plus;CAT02;BR01;SUP03;93.0;520.33;N
P0099;Train Pro;CAT06;BR02;SUP02;424.31;50.0;No
P0100;Doux Max;CAT08;BR01;SUP13;309.03;146.52;N
P0101;Feu Basic;CAT05;BR05;SUP15;398.12;37.37;N
P0102;Complet Plus;CAT08;BR07;SUP18;218.17;79.3;No
P0103;Pas Basic;CAT07;BR04;SUP17;115.87;795.33;Y
P0104;Muet Max;CAT06;BR08;SUP18;352.74;281.79;Yes
P0105;Doute Max;CAT05;BR03;SUP01;146.9;183.03;Yes
P0106;Ou Pro;CAT08;BR09;SUP12;346.24;799.69;N
P0107;Voisin Pro;CAT04;BR11;SUP08;123.6;654.87;Y
P0108;Parfaitement Basic;CAT07;BR06;SUP06;83.36;478.09;Yes
P0109;Choisir Pro;CAT06;BR10;SUP19;68.24;759.21;No
P0110;Odeur Plus;CAT03;BR08;SUP02;45.16;193.77;N
P0111;Lors Pro;CAT08;BR01;SUP11;413.46;169.16;N
P0112;Jusque Plus;CAT03;BR15;SUP11;31.5;126.69;N
P0113;Oui Pro;CAT06;BR02;SUP12;318.52;533.09;Y
P0114;Réflexion Plus;CAT05;BR06;SUP05;439.26;588.56;No
P0115;Raconter Max;CAT06;BR03;SUP18;313.63;743.79;Yes
P0116;Souffrir Basic;CAT03;BR07;SUP10;331.63;242.67;N
P0117;Joie Pro;CAT07;BR14;SUP19;19.41;485.89;N
P0118;Demain Pro;CAT08;BR03;SUP11;336.68;198.02;Yes
P0119;Remonter Basic;CAT02;BR14;SUP11;203.75;219.52;N
P0120;Attention Pro;CAT06;BR05;SUP04;325.58;48.04;No
P0121;Abandonner Max;CAT03;BR15;SUP14;224.42;309.18;No
P0122;Fils Pro;CAT08;BR13;SUP19;294.68;552.86;N
P0123;Embrasser Max;CAT02;BR13;SUP02;136.23;261.79;Y
P0124;Bout Pro;CAT06;BR03;SUP13;76.6;69.25;Y
P0125;L'un Plus;CAT08;BR12;SUP01;196.94;526.37;No
P0126;Cacher Basic;CAT01;BR02;SUP11;96.47;160.09;Yes
P0127;Phrase Plus;CAT05;BR04;SUP04;27.09;461.7;No
P0128;Politique Basic;CAT01;BR06;SUP01;195.28;242.69;No
P0129;Arrière Basic;CAT02;BR01;SUP07;81.02;240.53;Y
P0130;Proposer Max;CAT02;BR05;SUP13;214.57;716.95;Yes
P0131;Finir Pro;CAT07;BR03;SUP12;399.04;301.83;No
P0132;Trésor Pro;CAT05;BR08;SUP15;122.21;671.29;Y
P0133;Certes Basic;CAT02;BR02;SUP12;364.64;337.05;N
P0134;Prévenir Pro;CAT07;BR14;SUP17;191.29;433.06;No
P0135;Circonstance Basic;CAT08;BR05;SUP03;180.69;684.61;Y
P0136;Honte Basic;CAT02;BR13;SUP15;81.93;787.65;N
P0137;Fonder Basic;CAT03;BR01;SUP14;39.87;549.67;N
P0138;Espèce Basic;CAT05;BR06;SUP03;43.73;449.53;Yes
P0139;Nom Plus;CAT08;BR15;SUP01;355.02;502.22;No
P0140;Livrer Pro;CAT07;BR03;SUP05;257.13;470.31;Y
P0141;Gauche Pro;CAT02;BR13;SUP10;391.03;705.31;No
P0142;Écouter Plus;CAT07;BR11;SUP16;259.55;383.71;N
P0143;Pointe Plus;CAT07;BR03;SUP20;275.85;557.99;Y
P0144;Dernier Max;CAT06;BR12;SUP08;26.93;385.42;Yes
P0145;L'un Plus;CAT01;BR06;SUP10;143.37;675.85;Y
P0146;Par Basic;CAT03;BR05;SUP15;349.44;263.49;No
P0147;Voie Pro;CAT04;BR08;SUP07;411.48;331.66;No
P0148;Matière Plus;CAT01;BR09;SUP06;34.2;570.56;No
P0149;Entretenir Basic;CAT01;BR03;SUP07;394.46;168.57;Y
P0150;Seulement Basic;CAT01;BR08;SUP02;413.52;566.66;Yes
P0151;Quant à Plus;CAT08;BR09;SUP13;287.76;107.86;Y
P0152;Présent Basic;CAT06;BR08;SUP20;203.52;768.81;No
P0153;Mois Plus;CAT06;BR03;SUP09;338.29;554.19;Yes
P0154;Profondément Pro;CAT07;BR01;SUP06;384.95;626.07;N
P0155;Prêter Basic;CAT04;BR11;SUP07;124.74;333.51;Y
P0156;Marquer Pro;CAT08;BR15;SUP05;293.08;484.9;Y
P0157;Enfance Basic;CAT05;BR10;SUP10;322.17;570.4;Yes
P0158;Mériter Max;CAT07;BR14;SUP12;209.25;182.39;Yes
P0159;Sol Max;CAT02;BR01;SUP17;449.75;773.52;Yes
P0160;Jeune Plus;CAT05;BR11;SUP04;219.37;275.66;Yes
P0161;Réduire Plus;CAT05;BR05;SUP10;88.82;418.66;N
P0162;Hauteur Pro;CAT07;BR11;SUP11;307.94;579.81;No
P0163;Parfaitement Plus;CAT05;BR15;SUP14;185.05;592.02;N
P0164;Matière Plus;CAT04;BR11;SUP18;289.05;385.83;Yes
P0165;Article Plus;CAT03;BR14;SUP18;85.61;87.11;N
P0166;Noir Plus;CAT03;BR11;SUP11;296.22;185.58;N
P0167;Marcher Plus;CAT07;BR13;SUP11;170.4;472.6;No
P0168;Plante Pro;CAT08;BR01;SUP19;263.24;500.32;No
P0169;Rose Basic;CAT02;BR14;SUP13;240.78;336.35;N
P0170;Examiner Basic;CAT04;BR06;SUP14;444.3;715.35;No
P0171;Descendre Basic;CAT06;BR14;SUP06;351.63;395.19;N
P0172;Fond Plus;CAT01;BR01;SUP15;126.72;611.34;N
P0173;Part Basic;CAT08;BR13;SUP03;62.59;352.63;No
P0174;Tard Max;CAT07;BR08;SUP13;7.08;431.69;Yes
P0175;Déchirer Pro;CAT06;BR13;SUP17;89.81;544.63;N
P0176;Quant à Basic;CAT06;BR05;SUP05;50.71;407.64;Yes
P0177;Anglais Basic;CAT02;BR14;SUP02;137.7;239.75;Yes
P0178;Événement Max;CAT03;BR06;SUP16;164.87;158.86;No
P0179;Envoyer Pro;CAT04;BR04;SUP05;98.98;27.31;N
P0180;Voir Pro;CAT06;BR12;SUP02;171.96;515.85;Y
P0181;Soumettre Pro;CAT02;BR11;SUP01;26.46;101.47;No
P0182;Pied Max;CAT02;BR09;SUP09;216.11;130.97;Y
P0183;Embrasser Plus;CAT07;BR11;SUP04;299.8;223.28;N
P0184;Son Max;CAT02;BR09;SUP20;57.39;100.07;Y
P0185;Commander Max;CAT04;BR10;SUP07;351.19;666.88;N
P0186;Intérieur Plus;CAT07;BR05;SUP06;22.54;402.12;N
P0187;Revoir Max;CAT06;BR04;SUP01;10.67;80.31;Y
P0188;Emporter Max;CAT03;BR02;SUP17;38.4;581.63;Yes
P0189;Tracer Basic;CAT08;BR05;SUP09;211.6;88.85;N
P0190;Souhaiter Pro;CAT05;BR06;SUP11;194.57;101.56;Y
P0191;Courir Pro;CAT03;BR11;SUP06;151.25;716.68;Yes
P0192;Cruel Pro;CAT06;BR14;SUP11;86.38;326.61;No
P0193;Lutter Plus;CAT07;BR12;SUP16;360.96;522.59;N
P0194;Blond Pro;CAT03;BR12;SUP02;441.8;677.04;Y
P0195;Fermer Max;CAT08;BR13;SUP19;306.88;153.2;No
P0196;Recommencer Plus;CAT01;BR14;SUP05;219.97;395.62;No
P0197;Demeurer Max;CAT01;BR02;SUP09;296.46;19.76;N
P0198;Ventre Plus;CAT02;BR07;SUP08;219.46;534.33;No
P0199;Envelopper Basic;CAT01;BR01;SUP06;229.98;380.74;No
P0200;Amener Basic;CAT02;BR13;SUP16;147.68;271.41;Yes
P0201;Sujet Pro;CAT04;BR09;SUP13;184.46;195.65;No
P0202;Ami Max;CAT08;BR02;SUP16;203.95;103.78;No
P0203;Poitrine Pro;CAT02;BR07;SUP14;20.95;443.79;Y
P0204;Beau Plus;CAT04;BR11;SUP15;427.91;297.04;Y
P0205;Papa Basic;CAT08;BR06;SUP18;346.5;483.96;Yes
P0206;Battre Max;CAT02;BR02;SUP08;5.98;290.56;Yes
P0207;Vraiment Plus;CAT02;BR01;SUP06;224.13;659.25;No
P0208;Police Pro;CAT05;BR10;SUP07;88.46;744.87;No
P0209;Fer Basic;CAT08;BR14;SUP07;323.97;95.13;No
P0210;Pays Pro;CAT02;BR13;SUP15;208.54;475.56;N
P0211;Supérieur Max;CAT01;BR09;SUP02;251.19;351.92;No
P0212;Intérêt Basic;CAT03;BR12;SUP05;51.08;529.44;Yes
P0213;Propre Max;CAT07;BR10;SUP08;126.75;771.24;Yes
P0214;Français Max;CAT03;BR03;SUP14;273.12;710.29;Yes
P0215;Grâce Plus;CAT04;BR04;SUP07;282.75;239.56;Yes
P0216;Français Basic;CAT03;BR09;SUP18;313.97;264.68;Y
P0217;Suivant Plus;CAT08;BR10;SUP19;424.49;571.0;Yes
P0218;On Max;CAT01;BR09;SUP04;16.25;124.81;Y
P0219;Garçon Basic;CAT05;BR13;SUP06;442.67;549.88;N
P0220;Céder Pro;CAT05;BR04;SUP18;19.38;653.08;Y
P0221;Fil Basic;CAT07;BR04;SUP17;354.02;641.07;Yes
P0222;Rocher Pro;CAT07;BR07;SUP14;430.73;780.9;Yes
P0223;Premier Pro;CAT01;BR12;SUP09;95.37;696.39;No
P0224;Détail Basic;CAT06;BR13;SUP19;248.24;486.68;N
P0225;Entourer Plus;CAT08;BR03;SUP03;88.2;147.3;Y
P0226;De Max;CAT01;BR07;SUP09;252.69;112.75;Yes
P0227;Seigneur Pro;CAT06;BR08;SUP05;22.77;743.62;Y
P0228;Bas Plus;CAT08;BR13;SUP19;249.82;67.58;Yes
P0229;En Basic;CAT03;BR09;SUP03;354.88;135.9;No
P0230;Un Pro;CAT06;BR04;SUP07;300.18;271.54;Yes
P0231;Gagner Basic;CAT08;BR09;SUP01;56.05;283.35;N
P0232;Presser Basic;CAT01;BR11;SUP11;174.71;639.0;Y
P0233;Flamme Max;CAT05;BR09;SUP10;15.99;418.33;Yes
P0234;Tranquille Max;CAT08;BR01;SUP10;404.74;162.08;Y
P0235;Intérieur Pro;CAT03;BR13;SUP18;242.28;505.28;N
P0236;Ton Basic;CAT07;BR14;SUP04;96.48;664.71;No
P0237;Ouvrage Pro;CAT03;BR01;SUP15;324.01;39.93;Y
P0238;Poésie Pro;CAT03;BR13;SUP09;253.35;464.22;N
P0239;Classe Plus;CAT07;BR07;SUP15;285.45;352.09;Y
P0240;Race Max;CAT02;BR09;SUP01;290.43;498.5;Y
P0241;Mais Pro;CAT06;BR15;SUP17;52.23;631.64;Yes
P0242;Fil Pro;CAT05;BR13;SUP15;174.73;659.48;Y
P0243;Loin Max;CAT03;BR09;SUP08;65.69;318.88;Yes
P0244;Prêter Basic;CAT05;BR11;SUP12;431.04;18.81;N
P0245;Réunir Pro;CAT01;BR01;SUP19;270.51;434.35;Y
P0246;Demain Plus;CAT04;BR12;SUP12;99.22;725.45;N
P0247;Signer Basic;CAT03;BR04;SUP20;376.46;163.52;N
P0248;Mal Pro;CAT08;BR11;SUP18;37.55;540.63;Yes
P0249;Tranquille Pro;CAT04;BR12;SUP19;221.8;271.37;N
P0250;Parfaitement Basic;CAT02;BR05;SUP20;36.06;162.86;No
P0251;Arrière Max;CAT06;BR10;SUP10;313.59;130.39;Yes
P0252;Risquer Plus;CAT07;BR03;SUP01;144.38;630.67;No
P0253;Ensuite Plus;CAT06;BR03;SUP11;395.66;375.65;Yes
P0254;Foule Plus;CAT08;BR09;SUP04;83.22;489.24;Yes
P0255;Mal Basic;CAT04;BR05;SUP03;328.7;714.76;Y
P0256;Ouvert Max;CAT04;BR15;SUP02;250.46;439.34;No
P0257;Coin Basic;CAT06;BR07;SUP08;401.69;475.78;Yes
P0258;Auquel Basic;CAT08;BR09;SUP17;45.3;297.45;Y
P0259;Fer Basic;CAT03;BR13;SUP17;67.46;135.79;N
P0260;Nom Max;CAT06;BR01;SUP08;343.86;193.08;Yes
P0261;Près Plus;CAT04;BR01;SUP07;235.46;635.25;No
P0262;Soi Max;CAT08;BR15;SUP02;22.76;522.33;Y
P0263;Cri Plus;CAT05;BR10;SUP18;258.72;307.56;No
P0264;Menacer Plus;CAT02;BR09;SUP09;172.47;726.72;No
P0265;Maintenant Plus;CAT06;BR08;SUP16;399.79;15.21;N
P0266;Solitude Max;CAT03;BR04;SUP03;233.97;231.84;N
P0267;Portier Basic;CAT03;BR06;SUP20;324.2;103.48;N
P0268;Accuser Max;CAT06;BR12;SUP04;219.27;388.26;N
P0269;Guère Basic;CAT07;BR01;SUP08;24.2;463.05;N
P0270;Fumer Basic;CAT01;BR15;SUP19;70.35;141.41;N
P0271;Prévenir Max;CAT01;BR15;SUP10;426.53;181.11;No
P0272;Nuit Max;CAT03;BR04;SUP14;272.37;637.75;N
P0273;Dehors Plus;CAT03;BR12;SUP11;415.45;481.26;Y
P0274;Perdre Basic;CAT07;BR07;SUP05;53.31;169.86;No
P0275;Tant Basic;CAT02;BR03;SUP16;406.22;483.85;Y
P0276;Cinquante Pro;CAT08;BR11;SUP05;406.38;436.04;Y
P0277;Magnifique Max;CAT07;BR06;SUP02;315.45;348.88;No
P0278;Représenter Max;CAT06;BR10;SUP19;48.48;115.77;No
P0279;Autrement Basic;CAT02;BR05;SUP20;395.16;332.83;N
P0280;Passé Pro;CAT01;BR10;SUP17;57.43;15.68;N
P0281;Bas Plus;CAT07;BR06;SUP04;73.88;524.74;Yes
P0282;Ordre Plus;CAT07;BR10;SUP12;277.29;793.52;No
P0283;Y Basic;CAT07;BR09;SUP18;219.7;302.47;No
P0284;Troisième Plus;CAT05;BR10;SUP12;349.52;324.52;N
P0285;Rêver Pro;CAT04;BR08;SUP06;49.62;411.59;Yes
P0286;Volonté Pro;CAT03;BR07;SUP01;362.94;660.37;No
P0287;Complètement Max;CAT02;BR02;SUP09;103.69;73.23;Y
P0288;Chaud Max;CAT07;BR10;SUP17;132.48;771.19;Y
P0289;Milieu Basic;CAT08;BR08;SUP01;94.76;528.94;Yes
P0290;Comme Basic;CAT01;BR13;SUP20;232.19;561.78;N
P0291;Placer Pro;CAT06;BR04;SUP01;439.16;78.61;Yes
P0292;Accorder Max;CAT06;BR11;SUP13;185.43;168.25;Y
P0293;Tomber Pro;CAT02;BR09;SUP10;328.13;451.7;Yes
P0294;Lit Plus;CAT05;BR04;SUP20;433.56;369.26;No
P0295;Vaincre Pro;CAT05;BR03;SUP14;230.28;451.32;Yes
P0296;Puissant Plus;CAT02;BR13;SUP17;430.74;702.13;Yes
P0297;Accomplir Max;CAT07;BR10;SUP16;347.64;608.4;No
P0298;Minute Max;CAT01;BR08;SUP04;119.73;312.31;N
P0299;Lueur Basic;CAT06;BR07;SUP12;234.84;17.68;Yes
P0300;Aspect Basic;CAT05;BR02;SUP13;304.8;658.65;Y
P0301;Aventure Basic;CAT08;BR06;SUP12;102.26;463.23;N
P0302;Nuage Basic;CAT08;BR12;SUP07;109.51;201.22;Yes
P0303;Famille Basic;CAT04;BR04;SUP08;377.17;291.26;Y
P0304;Paquet Pro;CAT02;BR11;SUP16;278.15;613.75;Y
P0305;Étranger Max;CAT06;BR10;SUP11;224.09;788.44;Yes
P0306;Veiller Max;CAT03;BR13;SUP17;129.72;185.45;N
P0307;Dont Pro;CAT07;BR08;SUP18;19.49;284.36;N
P0308;Aucun Max;CAT02;BR12;SUP17;209.73;554.48;Y
P0309;Mériter Basic;CAT07;BR10;SUP04;149.82;494.09;Yes
P0310;Absolu Basic;CAT05;BR04;SUP09;214.75;494.34;Yes
P0311;Très Basic;CAT08;BR07;SUP07;191.5;604.23;Yes
P0312;Travailler Max;CAT05;BR08;SUP06;259.28;783.63;N
P0313;Saint Pro;CAT05;BR13;SUP08;252.13;686.48;N
P0314;Grave Basic;CAT03;BR08;SUP01;83.59;404.68;Yes
P0315;Dépasser Max;CAT05;BR05;SUP18;387.03;47.69;Y
P0316;Chant Basic;CAT01;BR04;SUP09;217.06;507.59;No
P0317;Prier Plus;CAT05;BR06;SUP12;254.36;746.16;Yes
P0318;Action Plus;CAT01;BR07;SUP04;161.24;546.87;N
P0319;Humain Basic;CAT05;BR06;SUP11;304.57;395.12;No
P0320;Discussion Pro;CAT07;BR10;SUP10;211.37;765.71;N
P0321;Lentement Plus;CAT07;BR11;SUP20;259.38;680.63;Y
P0322;Valeur Pro;CAT03;BR06;SUP08;144.5;525.88;Yes
P0323;Ministre Max;CAT05;BR15;SUP15;352.53;751.63;No
P0324;Chair Max;CAT03;BR03;SUP01;60.64;195.36;Yes
P0325;Naturel Pro;CAT04;BR03;SUP13;50.84;60.4;No
P0326;Réunir Pro;CAT01;BR13;SUP13;238.17;796.85;Y
P0327;Et Plus;CAT03;BR02;SUP13;142.67;205.44;Yes
P0328;Tenir Max;CAT03;BR03;SUP17;378.14;32.57;Yes
P0329;Adresser Plus;CAT08;BR08;SUP18;421.01;443.35;N
P0330;Faveur Basic;CAT08;BR11;SUP19;198.56;515.43;Yes
P0331;Proposer Plus;CAT08;BR09;SUP08;363.09;359.07;Yes
P0332;Inventer Max;CAT05;BR03;SUP10;9.7;423.42;N
P0333;Livrer Plus;CAT05;BR08;SUP18;8.7;738.45;No
P0334;Peuple Plus;CAT01;BR13;SUP14;360.09;481.63;Y
P0335;Voyager Plus;CAT04;BR07;SUP18;199.51;207.42;No
P0336;Pièce Max;CAT04;BR05;SUP03;192.9;199.25;Yes
P0337;Type Plus;CAT05;BR07;SUP07;384.8;154.1;Yes
P0338;Moyen Pro;CAT08;BR10;SUP15;126.1;501.98;N
P0339;Frapper Plus;CAT01;BR03;SUP02;436.52;27.48;Y
P0340;Dix Plus;CAT05;BR03;SUP15;328.56;193.92;N
P0341;Plaine Pro;CAT08;BR04;SUP11;192.01;630.72;No
P0342;Ministre Plus;CAT08;BR12;SUP02;151.96;676.4;N
P0343;Bataille Pro;CAT05;BR13;SUP13;36.77;381.42;N
P0344;Rue Plus;CAT07;BR14;SUP01;59.27;616.84;N
P0345;Ça Max;CAT08;BR04;SUP02;93.64;590.9;Y
P0346;Plus Basic;CAT08;BR07;SUP10;421.62;135.3;Y
P0347;Quant à Pro;CAT05;BR08;SUP10;93.43;711.14;N
P0348;Finir Pro;CAT04;BR11;SUP14;149.41;142.21;Yes
P0349;Année Pro;CAT07;BR13;SUP08;8.97;43.17;No
P0350;Réduire Basic;CAT06;BR13;SUP03;115.68;404.94;Yes
P0351;Table Pro;CAT01;BR06;SUP05;317.09;635.26;N
P0352;Part Max;CAT04;BR06;SUP18;355.91;607.79;No
P0353;Depuis Basic;CAT01;BR12;SUP13;164.38;116.44;Y
P0354;Rencontre Max;CAT08;BR09;SUP10;246.52;397.17;N
P0355;Inviter Plus;CAT06;BR12;SUP15;127.52;666.77;N
P0356;Déchirer Pro;CAT03;BR08;SUP10;369.64;437.87;No
P0357;Terreur Pro;CAT07;BR12;SUP06;397.9;499.59;Yes
P0358;Liberté Basic;CAT06;BR12;SUP03;297.94;435.78;No
P0359;Brusquement Basic;CAT08;BR13;SUP18;73.59;233.67;No
P0360;Sens Plus;CAT02;BR02;SUP17;298.21;44.58;N
P0361;Début Basic;CAT01;BR04;SUP04;220.99;88.02;No
P0362;Ici Max;CAT05;BR01;SUP12;103.22;577.1;Y
P0363;Claire Basic;CAT08;BR15;SUP03;213.29;514.74;Yes
P0364;Horizon Max;CAT06;BR13;SUP02;371.52;219.99;Y
P0365;Bas Pro;CAT05;BR02;SUP07;432.46;86.72;N
P0366;Mari Max;CAT04;BR04;SUP17;297.31;460.32;N
P0367;Toi Max;CAT02;BR13;SUP19;164.29;372.39;No
P0368;Lit Pro;CAT03;BR13;SUP06;249.73;408.71;N
P0369;Échapper Max;CAT06;BR15;SUP11;249.79;797.51;Yes
P0370;Confondre Max;CAT07;BR14;SUP11;275.74;454.88;N
P0371;Après Max;CAT05;BR06;SUP15;204.14;323.7;Y
P0372;Sauter Plus;CAT01;BR09;SUP05;447.07;248.45;Yes
P0373;Nuit Basic;CAT04;BR14;SUP11;14.66;659.33;Yes
P0374;Reconnaître Basic;CAT02;BR01;SUP15;163.27;119.34;Yes
P0375;Bientôt Basic;CAT04;BR05;SUP10;45.9;325.84;N
P0376;Lorsque Pro;CAT06;BR13;SUP16;81.94;662.31;Y
P0377;Puis Plus;CAT01;BR12;SUP19;174.79;626.3;Yes
P0378;Pas Plus;CAT07;BR07;SUP04;392.05;189.11;Y
P0379;Beaucoup Max;CAT01;BR05;SUP17;23.33;436.54;N
P0380;Grand Plus;CAT04;BR03;SUP02;304.77;797.92;No
P0381;Franchir Pro;CAT04;BR07;SUP10;354.93;126.93;Yes
P0382;Hors Pro;CAT08;BR10;SUP02;248.93;217.42;No
P0383;Éloigner Max;CAT03;BR13;SUP05;219.01;166.51;No
P0384;Patron Basic;CAT04;BR04;SUP03;123.48;349.75;Y
P0385;Résister Pro;CAT07;BR07;SUP12;160.0;263.38;Y
