OrderID;Gender;ChannelName;PaymentMethod;YearNumber;MonthNumber;TotalQuantity;AvgDiscount;NumberOfProducts;NumberOfCategories;TotalRevenue
O000032;Unknown;Store;Cash;2023;6;9;0,05;3;3;3236,92
O000033;Unknown;Marketplace;Cash;2022;8;9;0,0875;4;3;5373,25
O000034;Male;Store;COD;2024;11;17;0,1375;4;3;5707,04
O000035;Female;Mobile App;COD;2021;8;6;0;1;1;2636,04
O000036;Male;Marketplace;Card;2025;4;14;0,1;5;3;6449,89
O000037;Male;Marketplace;Bank Transfer;2025;4;5;0,15;2;2;2364,52
O000038;Male;Web;Bank Transfer;2024;4;7;0,0375;4;3;2654,16
O000039;Female;Call Center;Bank Transfer;2021;3;14;0,0333333333333333;3;2;5403,58
O000040;Unknown;Mobile App;Bank Transfer;2021;12;6;0,2;3;3;2016,86
O000041;Male;Mobile App;COD;2023;5;15;0,166666666666667;3;3;5833,29
O000042;Female;Mobile App;Card;2024;9;2;0,05;1;1;737,69
O000043;Female;Web;Wallet;2022;10;4;0,025;2;2;1709,97
O000044;Female;Mobile App;Cash;2022;2;6;0,1;1;1;3186,81
O000045;Female;Store;Wallet;2023;4;18;0,09;5;3;7474,7
O000046;Female;Web;Bank Transfer;2021;10;7;0,0666666666666667;3;3;1047,83
O000047;Male;Marketplace;Bank Transfer;2021;2;15;0,0625;4;4;5605,4
O000048;Male;Web;Cash;2022;2;10;0,1;3;3;4582,06
O000049;Female;Marketplace;Card;2022;12;7;0,025;2;2;1806,4
O000050;Male;Call Center;COD;2025;1;11;0,05;3;2;5648,59
O000051;Female;Marketplace;Card;2024;2;21;0,08;5;4;9692,84
O000052;Male;Call Center;Card;2022;8;14;0,025;4;2;4924,23
O000053;Female;Call Center;Cash;2024;11;9;0,2;2;2;5144,3
O000054;Female;Mobile App;Wallet;2022;9;12;0,0625;4;4;1641,78
O000055;Female;Marketplace;Wallet;2022;8;8;0,05;2;2;3304,53
O000056;Female;Mobile App;COD;2021;3;3;0;1;1;549,09
O000057;Unknown;Marketplace;Cash;2024;10;6;0;1;1;1580,94
O000058;Unknown;Call Center;Wallet;2023;8;19;0,06;5;4;8330,91
O000059;Female;Store;Card;2022;7;7;0,075;2;2;3041,65
O000060;Unknown;Call Center;Card;2023;11;12;0,125;4;3;4516,32
O000061;Female;Call Center;Bank Transfer;2022;8;15;0,12;5;4;7906,82
O000062;Female;Store;Card;2025;4;20;0,075;4;4;8480,95
O000063;Unknown;Store;Card;2025;11;19;0,1;4;4;8766,75
O000064;Female;Web;Cash;2025;7;17;0,03;5;5;5794,73
O000065;Male;Call Center;Wallet;2022;8;19;0,1375;4;3;5656,11
O000066;Male;Mobile App;COD;2023;5;10;0,0833333333333333;3;3;3126,81
O000067;Female;Call Center;Card;2024;5;8;0,025;2;2;3133,75
O000068;Female;Call Center;Card;2021;7;8;0,0166666666666667;3;3;3690,72
O000069;Male;Mobile App;Cash;2022;6;1;0,1;1;1;519,39
O000070;Male;Store;Cash;2025;8;16;0,0833333333333333;3;3;5780,88
O000071;Male;Web;Wallet;2025;4;17;0,05;4;3;9957,94
O000072;Male;Marketplace;COD;2021;10;6;0;1;1;164,88
O000073;Unknown;Mobile App;Wallet;2025;1;10;0,15;2;2;6033,33
O000074;Male;Mobile App;Card;2021;3;5;0,05;1;1;2481,07
O000075;Male;Call Center;Cash;2022;5;6;0;1;1;4177,86
O000076;Female;Marketplace;Wallet;2025;8;12;0,0625;4;4;2970,34
O000077;Male;Call Center;Wallet;2025;12;19;0,1;4;3;5223,77
O000078;Female;Call Center;Cash;2024;11;9;0,025;4;3;4671,5
O000079;Male;Mobile App;Bank Transfer;2021;4;4;0,2;1;1;2272,93
O000080;Unknown;Marketplace;Cash;2025;10;21;0,06;5;4;8363,2
O000081;Female;Store;COD;2024;8;9;0,0125;4;3;4283,49
O000082;Male;Store;Card;2023;4;10;0,03;5;5;4145,43
O000083;Unknown;Store;Card;2022;1;2;0;1;1;569,72
O000084;Male;Store;COD;2021;8;5;0,2;1;1;1798,12
O000085;Female;Marketplace;Bank Transfer;2023;7;13;0,0625;3;2;3769,3
O000086;Male;Marketplace;Wallet;2021;4;15;0,0333333333333333;3;3;5049,69
O000087;Male;Call Center;Wallet;2022;12;2;0,1;1;1;1063,62
O000088;Unknown;Call Center;Cash;2024;1;4;0,05;1;1;1744,28
O000089;Female;Web;COD;2024;10;14;0,075;4;4;6452,95
O000090;Unknown;Marketplace;Wallet;2024;9;20;0,12;5;4;5023,58
O000091;Male;Mobile App;Card;2023;6;7;0,075;2;2;3460,51
O000092;Unknown;Mobile App;COD;2022;8;19;0,05;5;3;9284,18
O000093;Male;Store;Wallet;2024;3;4;0;1;1;1040,44
O000094;Male;Mobile App;Cash;2024;2;20;0,08;5;3;8681,7
O000095;Female;Marketplace;Bank Transfer;2024;4;4;0,1;2;2;1342,74
O000096;Female;Mobile App;Card;2021;10;7;0,1;2;2;1356,15
O000097;Female;Call Center;Wallet;2022;1;6;0,05;4;3;2782,48
O000098;Female;Web;Card;2022;2;13;0,05;4;3;3657,41
O000099;Male;Store;Bank Transfer;2022;1;2;0,05;1;1;820,21
O000100;Male;Store;Bank Transfer;2025;12;12;0,1;3;2;5962,47
O000101;Unknown;Web;Wallet;2024;7;17;0,17;5;4;4343,73
O000102;Female;Store;Card;2024;7;9;0,075;4;3;2973,39
O000103;Male;Call Center;Cash;2023;5;15;0,0625;4;4;3489,91
O000104;Unknown;Mobile App;Wallet;2024;1;19;0,11;5;5;5923,42
O000105;Male;Call Center;Wallet;2022;10;2;0,1;1;1;753,59
O000106;Male;Marketplace;Bank Transfer;2023;2;20;0,125;4;3;6873,86
O000107;Female;Marketplace;Wallet;2023;12;5;0;1;1;676,5
O000108;Female;Store;Wallet;2024;9;5;0,1;1;1;1952,5
O000109;Male;Call Center;Card;2022;9;4;0;1;1;2290,96
O000110;Male;Marketplace;Card;2023;8;12;0,0333333333333333;3;3;5702,68
O000111;Male;Mobile App;Wallet;2022;5;11;0,0375;4;3;3124,7
O000112;Unknown;Call Center;COD;2023;2;16;0;4;3;6437,15
O000113;Male;Web;COD;2023;12;5;0,1;2;2;1044,9
O000114;Male;Marketplace;Cash;2023;6;2;0,075;2;2;996,85
O000115;Unknown;Web;Bank Transfer;2025;6;6;0,1;2;2;3000,3
O000116;Unknown;Store;Wallet;2024;9;2;0,1;1;1;470,88
O000117;Female;Marketplace;Card;2022;5;14;0,0666666666666667;3;3;8336,05
O000118;Male;Call Center;Cash;2022;9;19;0,075;4;4;4835,78
O000119;Male;Web;Wallet;2025;3;6;0,15;2;2;2664,42
O000120;Male;Web;Card;2024;7;16;0,025;4;2;6239,51
O000121;Female;Call Center;Bank Transfer;2021;6;16;0,0375;4;3;8741,33
O000122;Male;Web;Card;2021;5;14;0,025;4;3;3145,12
O000123;Female;Marketplace;Card;2025;4;7;0;2;2;4473,29
O000124;Female;Marketplace;COD;2022;5;13;0,1375;4;4;4221,61
O000125;Female;Store;Card;2025;3;12;0,0375;4;4;5421,54
O000126;Female;Web;Cash;2022;10;6;0,075;2;2;2795,78
O000127;Male;Mobile App;Bank Transfer;2023;2;7;0,0666666666666667;3;3;4165,22
O000128;Female;Mobile App;COD;2024;5;10;0,0375;4;3;2696,95
O000129;Female;Marketplace;Cash;2023;1;9;0,05;3;3;3146,56
O000130;Female;Call Center;Card;2024;9;17;0,07;5;4;5499,91
O000131;Unknown;Store;COD;2021;8;20;0,0875;4;2;6084,18
O000132;Male;Marketplace;Cash;2025;1;8;0,0833333333333333;3;2;4332,35
O000133;Unknown;Call Center;Cash;2025;1;14;0,07;5;3;3838,47
O000134;Female;Call Center;Card;2022;7;12;0;2;2;5238,54
O000135;Unknown;Web;Cash;2025;7;18;0,05;4;3;9637,92
O000136;Unknown;Call Center;Card;2024;3;6;0,2;1;1;1930,18
O000137;Female;Store;Bank Transfer;2024;10;11;0,0333333333333333;3;3;5454,84
O000138;Unknown;Store;COD;2025;5;1;0;1;1;519,25
O000139;Female;Marketplace;Wallet;2022;7;15;0,133333333333333;3;2;2094,49
O000140;Unknown;Store;Cash;2025;3;2;0,2;1;1;449,65
O000141;Male;Marketplace;Card;2021;6;5;0,05;1;1;87,97
O000142;Male;Marketplace;Wallet;2024;5;10;0,0166666666666667;3;2;4077,54
O000143;Male;Web;Card;2023;2;6;0,05;1;1;4284,29
O000144;Male;Mobile App;Wallet;2023;10;8;0,06;5;4;2679,12
O000145;Female;Mobile App;Bank Transfer;2021;12;21;0,06;5;5;7888,48
O000146;Male;Web;Wallet;2024;8;9;0,05;2;2;2948,35
O000147;Male;Mobile App;Wallet;2023;12;2;0;2;2;834,56
O000148;Unknown;Web;COD;2024;10;24;0,08;5;3;10915,94
O000149;Male;Marketplace;Cash;2025;9;14;0,0333333333333333;3;2;6474,69
O000150;Male;Store;Card;2024;8;9;0;3;3;3200,37
O000151;Male;Call Center;Wallet;2023;4;11;0,1;3;2;3715,95
O000152;Female;Mobile App;Wallet;2021;8;18;0,0875;4;3;8049,34
O000153;Unknown;Web;COD;2025;6;13;0,0166666666666667;3;2;8615,08
O000154;Unknown;Store;COD;2022;5;6;0,2;1;1;1121,62
O000155;Unknown;Mobile App;Bank Transfer;2023;2;15;0,0875;4;3;4023,36
O000156;Male;Web;COD;2022;12;14;0,025;4;3;7413,43
O000157;Male;Marketplace;Card;2025;3;6;0,2;1;1;2082,67
O000158;Male;Marketplace;COD;2021;6;2;0,1;1;1;583,92
O000159;Unknown;Call Center;Wallet;2024;7;13;0,0166666666666667;3;3;6096,8
O000160;Unknown;Call Center;COD;2024;2;5;0,1;1;1;2768,76
O000161;Male;Marketplace;Bank Transfer;2022;8;5;0,0833333333333333;3;3;1004,1
O000162;Male;Call Center;COD;2025;1;15;0,1;3;2;6398,95
O000163;Male;Web;Bank Transfer;2022;10;13;0,05;4;4;4876,39
O000164;Female;Marketplace;COD;2025;2;11;0,02;5;5;4576,39
O000165;Female;Marketplace;COD;2025;6;5;0,05;2;2;1783,31
O000166;Female;Mobile App;Card;2021;7;17;0,0375;4;3;9521,78
O000167;Male;Marketplace;Bank Transfer;2023;1;19;0,03;5;5;8994,86
O000168;Unknown;Web;Wallet;2025;6;12;0,075;4;4;3113,19
O000169;Male;Marketplace;Cash;2023;2;8;0,0125;4;3;1768,18
O000170;Male;Mobile App;Wallet;2025;10;12;0;2;2;6283,68
O000171;Female;Store;Card;2024;9;5;0,1;2;2;1319,88
O000172;Male;Store;Bank Transfer;2023;6;22;0,09;5;2;8252,87
O000173;Female;Call Center;Wallet;2025;2;6;0,1;1;1;417,91
O000174;Male;Web;Card;2024;8;6;0;2;1;3911,82
O000175;Male;Store;Bank Transfer;2022;5;3;0;1;1;1149,72
O000176;Male;Mobile App;Wallet;2025;3;10;0,05;2;2;3641,63
O000177;Male;Web;COD;2025;1;20;0,08;5;4;7359,32
O000178;Female;Web;Wallet;2021;7;9;0,0666666666666667;3;2;2556,48
O000179;Female;Mobile App;COD;2021;3;25;0,04;5;5;8709,71
O000180;Female;Web;Bank Transfer;2022;8;11;0,05;4;4;4152,37
O000181;Female;Store;Cash;2022;3;8;0,1;3;2;1991,29
O000182;Female;Web;Card;2022;7;17;0,04;5;3;4388,32
O000183;Male;Marketplace;Wallet;2025;8;7;0,0666666666666667;3;3;2256,02
O000184;Male;Call Center;Cash;2023;7;6;0;2;2;2272,54
O000185;Unknown;Marketplace;Wallet;2022;9;19;0,05;5;3;6803,66
O000186;Unknown;Store;Bank Transfer;2021;6;4;0,2;1;1;193,28
O000187;Male;Store;COD;2024;2;16;0,025;4;3;5964,56
O000188;Female;Call Center;COD;2022;5;15;0,075;4;3;6424,08
O000189;Female;Web;Card;2025;9;23;0,01;5;4;7767,44
O000190;Female;Web;Cash;2022;7;2;0,05;1;1;1115,87
O000191;Unknown;Call Center;Bank Transfer;2025;9;11;0,075;4;3;4687,6
O000192;Female;Mobile App;Cash;2021;11;5;0;2;1;3225,36
O000193;Female;Mobile App;Wallet;2022;2;13;0,0375;4;4;3311,46
O000194;Male;Mobile App;COD;2024;5;2;0;1;1;566,7
O000195;Unknown;Store;Bank Transfer;2023;3;4;0,05;3;3;1927,55
O000196;Unknown;Web;Wallet;2022;8;9;0,05;4;4;3095
O000197;Male;Store;Bank Transfer;2022;4;16;0,0625;4;4;6411,27
O000198;Female;Store;Cash;2023;10;13;0,03;5;3;6305,12
O000199;Unknown;Mobile App;Wallet;2021;8;7;0;2;2;260,77
O000200;Male;Call Center;Card;2024;3;5;0;1;1;507,35
O000201;Female;Store;Wallet;2021;5;19;0,05;5;5;8267,54
O000202;Female;Call Center;Wallet;2021;5;1;0;1;1;217,42
O000203;Unknown;Web;Card;2022;12;6;0,1;1;1;540,11
O000204;Female;Marketplace;Wallet;2024;1;4;0;2;2;1461,25
O000205;Male;Call Center;Wallet;2025;12;2;0,2;1;1;16,85
O000206;Unknown;Store;Cash;2021;12;3;0;1;1;1134,54
O000207;Female;Call Center;Bank Transfer;2023;9;5;0,025;2;2;2339,54
O000208;Unknown;Store;COD;2023;1;11;0,0166666666666667;3;3;6162,95
O000209;Female;Store;Bank Transfer;2022;2;9;0,05;3;3;4241,83
O000210;Female;Mobile App;Cash;2024;3;17;0,05;5;3;7841,09
O000211;Male;Store;Wallet;2023;6;3;0;1;1;1380,96
O000212;Female;Web;Wallet;2023;8;20;0,07;5;3;9699,18
O000213;Unknown;Marketplace;Card;2021;7;11;0,125;4;4;4717,49
O000214;Female;Web;Bank Transfer;2021;4;3;0;1;1;1673,43
O000215;Male;Marketplace;Cash;2021;9;7;0,075;2;2;2618,77
O000216;Female;Web;Card;2023;12;4;0,1;1;1;2253,85
O000217;Female;Marketplace;Wallet;2025;10;22;0,05;5;5;5921,77
O000218;Unknown;Call Center;COD;2021;9;9;0,0666666666666667;3;3;1864,31
O000219;Female;Web;COD;2023;11;14;0,1;3;3;6757,24
O000220;Female;Mobile App;Card;2024;4;6;0,1;1;1;2372,44
O000221;Unknown;Call Center;COD;2025;1;14;0,05;3;3;8450,76
O000222;Male;Mobile App;Card;2023;6;6;0;1;1;4509,78
O000223;Male;Store;Card;2024;3;7;0,2;2;1;1688,97
O000224;Male;Marketplace;COD;2025;11;19;0,07;5;4;8132,87
O000225;Male;Marketplace;Cash;2024;1;6;0,025;2;2;1480,73
O000226;Male;Call Center;Bank Transfer;2022;12;1;0,1;1;1;711,58
O000227;Male;Store;COD;2021;2;4;0;1;1;1522,96
O000228;Male;Mobile App;Bank Transfer;2024;6;9;0,075;4;3;2109,66
O000229;Male;Marketplace;COD;2022;8;8;0,075;2;2;3683,95
O000230;Unknown;Mobile App;COD;2023;12;2;0,2;1;1;292,85
O000231;Male;Call Center;Card;2021;3;11;0,05;4;3;3656,38
O000232;Male;Mobile App;Cash;2021;3;6;0,2;1;1;2614,22
O000233;Female;Call Center;Wallet;2025;10;11;0,075;4;3;2212,15
O000234;Unknown;Mobile App;Cash;2022;7;13;0,05;4;2;2737,8
O000235;Female;Web;Wallet;2021;5;6;0;2;2;2760,84
O000236;Female;Mobile App;Wallet;2021;5;4;0,133333333333333;3;3;993,28
O000237;Male;Mobile App;COD;2021;10;4;0,0833333333333333;3;2;586,22
O000238;Female;Store;COD;2025;8;24;0,07;5;3;9294,59
O000239;Male;Web;COD;2022;5;10;0,0666666666666667;3;3;1414,1
O000240;Male;Marketplace;COD;2025;10;12;0,075;4;3;4905,96
O000241;Male;Call Center;Cash;2025;11;13;0,1;3;2;2827,79
O000242;Male;Call Center;Cash;2023;7;17;0,12;5;4;6008,35
O000243;Unknown;Marketplace;COD;2021;4;8;0;2;2;2351,9
O000244;Unknown;Mobile App;COD;2021;12;2;0,05;1;1;372,1
O000245;Female;Marketplace;Cash;2025;12;14;0,06;5;4;4852,32
O000246;Female;Mobile App;Wallet;2025;1;6;0,05;1;1;3289,47
O000247;Female;Store;COD;2022;1;4;0,05;2;2;1840,17
O000248;Female;Marketplace;Wallet;2023;10;23;0,05;5;5;6246,72
O000249;Unknown;Call Center;Wallet;2025;12;6;0,1;1;1;857,84
O000250;Male;Mobile App;Card;2021;1;10;0,0666666666666667;3;2;2521,53
O000251;Female;Call Center;COD;2022;9;24;0,01;5;4;11405,47
O000252;Female;Web;COD;2023;12;11;0;3;3;4907,92
O000253;Male;Mobile App;Bank Transfer;2021;3;4;0,1;1;1;1326,28
O000254;Female;Marketplace;COD;2021;2;12;0,0666666666666667;3;2;3690,17
O000255;Female;Call Center;COD;2021;7;6;0,1;1;1;3859,7
O000256;Male;Call Center;COD;2023;3;5;0;1;1;52,65
O000257;Female;Marketplace;COD;2024;6;12;0,0666666666666667;3;3;2463,81
O000258;Male;Mobile App;Cash;2024;8;10;0,05;4;4;2556,56
O000259;Male;Call Center;Bank Transfer;2021;10;20;0,06;5;4;5734,34
O000260;Unknown;Call Center;Card;2021;1;4;0,1;2;1;1866,14
O000261;Female;Call Center;COD;2022;7;11;0;2;2;1794,98
O000262;Female;Marketplace;COD;2022;11;2;0;1;1;699,5
O000263;Male;Mobile App;COD;2025;11;14;0,0666666666666667;3;3;4416,51
O000264;Male;Mobile App;Cash;2021;7;18;0,03;5;4;10432,12
O000265;Male;Mobile App;Bank Transfer;2021;12;3;0,1;1;1;1143,23
O000266;Male;Marketplace;Card;2025;11;1;0,2;1;1;81,25
O000267;Female;Store;Wallet;2021;4;17;0,0333333333333333;3;3;8634,45
O000268;Female;Marketplace;Card;2021;5;15;0,05;5;5;6110,33
O000269;Female;Store;Bank Transfer;2025;4;7;0,05;2;2;1695,23
O000270;Female;Mobile App;Wallet;2022;4;15;0,0833333333333333;3;3;5339,88
O000271;Unknown;Marketplace;COD;2022;3;12;0,0375;4;4;1878,39
O000272;Female;Store;Wallet;2024;7;10;0,133333333333333;3;3;4821,6
O000273;Female;Marketplace;Card;2022;2;16;0,1;4;4;6098,26
O000274;Female;Store;Bank Transfer;2025;6;2;0;1;1;1003,96
O000275;Female;Web;Wallet;2023;6;5;0,1;1;1;2967,66
O000276;Female;Mobile App;COD;2023;3;16;0,15;5;4;6451,29
O000277;Female;Web;Cash;2021;10;9;0,1;3;3;3659,77
O000278;Female;Call Center;Cash;2024;11;12;0,075;4;4;5222,15
O000279;Male;Store;Wallet;2025;11;7;0,1;4;3;2479,76
O000280;Unknown;Web;Card;2024;1;6;0,133333333333333;3;3;2062,03
O000281;Unknown;Marketplace;Cash;2022;12;3;0;1;1;1500,96
O000282;Unknown;Mobile App;Card;2022;11;11;0,0625;4;3;4858,81
O000283;Male;Store;COD;2022;7;4;0;1;1;477,92
O000284;Female;Web;Card;2021;7;23;0,05;5;4;3620,46
O000285;Male;Store;COD;2024;9;12;0,1;3;3;3834,05
O000286;Female;Marketplace;COD;2025;3;4;0;1;1;2987,4
O000287;Female;Marketplace;Bank Transfer;2025;4;8;0,116666666666667;3;3;2256,02
O000288;Unknown;Store;COD;2023;3;17;0,075;4;2;6378,16
O000289;Male;Web;Cash;2024;6;17;0,025;4;3;3485,64
O000290;Male;Marketplace;Wallet;2023;7;24;0,04;5;3;10056,17
O000291;Female;Marketplace;Wallet;2025;1;4;0,2;1;1;256,99
O000292;Female;Store;Wallet;2025;4;6;0;1;1;2018,1
O000293;Female;Mobile App;Wallet;2022;8;11;0,0333333333333333;3;3;3993,34
O000294;Female;Web;COD;2025;4;16;0,14;5;5;7072,92
O000295;Female;Web;Cash;2025;11;9;0,0166666666666667;3;3;5792,39
O000296;Male;Call Center;Wallet;2024;9;20;0,05;5;4;7879,09
O000297;Female;Store;Cash;2024;2;7;0,15;2;2;1741,95
O000298;Male;Store;COD;2022;2;8;0,1;3;3;3885,44
O000299;Male;Marketplace;Card;2025;3;11;0,1;3;3;6048,47
O000300;Male;Web;COD;2023;10;10;0,09;5;3;3295
O000301;Female;Web;Bank Transfer;2025;4;15;0,0625;4;2;5907,13
O000302;Male;Store;Bank Transfer;2025;4;6;0;1;1;870
O000303;Unknown;Call Center;Wallet;2022;10;10;0,1;3;2;6520,66
O000304;Female;Store;Card;2021;5;6;0,1;1;1;2552,04
O000305;Male;Mobile App;Card;2023;6;4;0,075;2;2;778,34
O000306;Male;Web;Bank Transfer;2023;1;19;0,0375;4;3;8280,16
O000307;Unknown;Store;Cash;2024;7;4;0,2;1;1;1181,63
O000308;Female;Mobile App;Bank Transfer;2023;7;11;0,025;4;2;5774,08
O000309;Female;Mobile App;Card;2025;4;11;0,02;5;3;4222,71
O000310;Female;Store;Card;2021;9;10;0,125;4;4;3525,59
O000311;Unknown;Call Center;Bank Transfer;2025;3;4;0;1;1;1532,96
O000312;Unknown;Mobile App;Card;2025;10;13;0,0166666666666667;3;2;3301,46
O000313;Male;Mobile App;Bank Transfer;2024;5;7;0;2;2;4867,83
O000314;Male;Call Center;COD;2022;11;13;0,02;5;4;5169,56
O000315;Female;Call Center;Card;2022;9;16;0,02;5;5;6477,69
O000316;Male;Marketplace;Cash;2024;9;10;0;2;2;4316,44
O000317;Unknown;Mobile App;COD;2021;11;9;0,025;2;2;2049,79
O000318;Male;Call Center;COD;2022;7;13;0,0333333333333333;3;3;6268,98
O000319;Female;Call Center;Card;2022;9;19;0,05;5;4;7544,76
O000320;Male;Marketplace;Wallet;2024;7;5;0,15;2;2;2962,38
O000321;Female;Mobile App;Card;2021;1;4;0;1;1;1221,28
O000322;Male;Call Center;COD;2024;8;19;0,0625;4;3;9385,56
O000323;Male;Marketplace;COD;2022;9;3;0;1;1;1186,86
O000324;Male;Web;Bank Transfer;2025;4;13;0,0875;4;3;5804,86
O000325;Female;Web;Cash;2024;12;21;0,125;4;2;8182,92
O000326;Female;Marketplace;Cash;2023;9;15;0,02;5;4;4683,57
O000327;Female;Mobile App;Wallet;2023;1;11;0,0333333333333333;3;3;6790,36
O000328;Male;Store;Card;2022;11;9;0,1;2;2;5646,11
O000329;Female;Mobile App;Wallet;2022;1;14;0,1;5;4;2304,12
O000330;Male;Store;Card;2024;6;12;0,0333333333333333;3;3;5254,08
O000331;Female;Call Center;Card;2025;10;16;0,08;5;5;8531,18
O000332;Male;Marketplace;COD;2025;6;5;0;1;1;1786,25
O000333;Unknown;Call Center;Wallet;2023;8;22;0,03;5;4;5598,54
O000334;Female;Mobile App;COD;2024;9;6;0,2;2;2;2598,89
O000335;Female;Web;Bank Transfer;2025;9;11;0,1;3;3;3020,61
O000336;Unknown;Mobile App;COD;2021;12;4;0;1;1;1726,76
O000337;Female;Store;COD;2024;10;18;0,02;5;5;10736,13
O000338;Female;Marketplace;Card;2024;12;3;0,05;1;1;1018,16
O000339;Unknown;Web;Card;2022;1;5;0;1;1;1907,1
O000340;Unknown;Store;Card;2022;1;23;0,14;5;4;6367,3
O000341;Unknown;Call Center;COD;2023;4;5;0,0166666666666667;3;2;2342,98
O000342;Male;Store;Card;2023;12;15;0,04;5;4;3103,79
O000343;Female;Mobile App;Bank Transfer;2022;2;6;0,1;2;2;3899,41
O000344;Male;Mobile App;Cash;2022;2;5;0,075;2;1;793,11
O000345;Female;Marketplace;Card;2021;5;8;0,05;3;3;2116,01
O000346;Unknown;Store;Bank Transfer;2023;8;21;0,01;5;4;6470,61
O000347;Male;Call Center;Card;2024;12;12;0,1;3;3;3401,36
O000348;Female;Store;Wallet;2021;4;5;0;2;2;1958,3
O000349;Male;Store;Card;2024;2;16;0,08;5;4;6225,56
O000350;Unknown;Call Center;Wallet;2023;1;10;0,075;2;2;5170,59
O000351;Male;Mobile App;COD;2023;1;18;0,09;5;3;7488,56
O000352;Unknown;Web;Card;2022;11;16;0,075;4;4;4191,14
O000353;Unknown;Marketplace;Bank Transfer;2022;10;1;0,05;1;1;749,81
O000354;Male;Mobile App;Card;2022;9;8;0;2;2;2244,56
O000355;Male;Marketplace;Wallet;2021;11;5;0;2;2;1426,68
O000356;Male;Call Center;Card;2024;4;11;0,1;3;2;6095,11
O000357;Unknown;Call Center;Cash;2022;12;4;0,15;2;2;820,33
O000358;Male;Mobile App;Bank Transfer;2023;7;5;0;1;1;2169,45
O000359;Unknown;Store;Cash;2023;2;8;0,05;3;3;3058,01
O000360;Female;Store;COD;2021;2;6;0;1;1;986,88
O000361;Female;Store;Cash;2024;7;4;0;1;1;307,64
O000362;Female;Call Center;Card;2023;2;2;0,2;1;1;1189,79
O000363;Female;Mobile App;Cash;2022;1;8;0,0333333333333333;3;2;2296,67
O000364;Female;Marketplace;Cash;2025;2;5;0,05;1;1;1832,69
O000365;Female;Call Center;Wallet;2023;7;10;0,075;2;2;3259,46
O000366;Male;Web;Card;2023;7;9;0;2;2;5630,22
O000367;Female;Mobile App;Wallet;2021;11;17;0,025;4;3;7465,07
O000368;Female;Call Center;Cash;2025;7;18;0,075;4;3;7632,61
O000369;Male;Mobile App;Cash;2022;5;15;0,09;5;5;5032,37
O000370;Unknown;Marketplace;COD;2023;2;7;0,05;4;3;2668,71
O000371;Female;Mobile App;Bank Transfer;2022;10;12;0,05;5;5;4427,09
O000372;Male;Call Center;COD;2021;6;3;0,1;1;1;933,04
O000373;Female;Store;COD;2022;10;8;0,1125;4;4;3269,26
O000374;Unknown;Call Center;Wallet;2025;1;4;0,075;2;2;1826,86
O000375;Female;Web;Card;2024;8;9;0,0666666666666667;3;3;3021,96
O000376;Female;Mobile App;Bank Transfer;2023;10;9;0,0625;4;2;6417,1
